,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
0,SOD2,Unstimulated,96,45.84799859071958,5266.856866301374,72.57311393554347,1.5829069134161402,114.87648377670898,0.3991069110353044,2.5055942965406115,
1,SOD2,LPS_1h,96,94.85921293114001,11741.3107300477,108.35732891709587,1.1422963101723649,123.77617700213189,0.7663769816505657,1.3048408602333992,
2,SOD2,LPS_2h,96,105.1860496997823,11557.603791320871,107.50629651941729,1.0220585032545413,109.87772451107452,0.9573009467372128,1.044603584074913,
3,SOD2,LPS_4h,95,215.2466072762046,45819.87185801109,214.05576810263975,0.9944675589147068,212.87151717664472,1.011157387944903,0.9889657257337758,
4,SOD2,LPS_6h,96,276.59964475081773,76901.86751306732,277.3118596689787,1.002574894551302,278.0259084654517,0.9948700330753124,1.0051564191845543,
5,SOD2,PAM_1h,96,31.746471538751262,2869.3143791944176,53.56598154794158,1.687305043729234,90.38215083814892,0.35124713501895954,2.8469983105941123,
6,SOD2,PAM_2h,96,157.890642254835,30913.813542673397,175.82324517160237,1.1135760971053892,195.7925631385969,0.8064179748393608,1.2400517240444708,
7,SOD2,PAM_4h,85,444.6192374973896,168938.05409666445,411.02074655260947,0.9244331146490768,379.9611889210176,1.170170139639742,0.8545765834597933,
9,SOD2,PIC_1h,96,48.823278637492244,8951.554187262574,94.6126534204732,1.9378594813953869,183.3460274908396,0.2662903543952245,3.7552993696339967,
10,SOD2,PIC_2h,84,117.69341389796945,33822.346338167015,183.90852709476798,1.562606784897935,287.3767122388702,0.4095440196982336,2.441739964209061,
11,SOD2,PIC_4h,90,133.4131585603508,49616.23664378832,222.74702387189893,1.6696031056871878,371.89912283910064,0.3587348029806217,2.7875745305203035,
13,SOD2,Unstimulated_Replicate,96,41.277827004035714,8429.719087267948,91.81350166107349,2.2242813714999325,204.21906139690395,0.20212524101171636,4.947427619601622,
14,SOD2,LPS_4h_Replicate,96,339.30055239468976,140506.9877767579,374.8426173432763,1.1047509787347545,414.10774838148166,0.8193533053192755,1.2204747250153978,
15,CHD1,Unstimulated,96,11.070373358289396,501.2417897189891,22.388429818077665,2.0223735093192143,45.27776737933266,0.24449909964735894,4.089994611196115,
16,CHD1,LPS_1h,96,22.440168742424774,1567.0115315901428,39.58549648027852,1.7640462928177203,69.83064831538424,0.32135128749020986,3.1118593232039427,
17,CHD1,LPS_2h,96,24.97562824643849,1874.6971822972232,43.297773410387094,1.7336009722422632,75.06106208017226,0.3327374747210767,3.0053723309593203,
18,CHD1,LPS_4h,95,24.61448678730741,1206.2685281248646,34.731376709322426,1.4110136445027102,49.006446429217576,0.5022703864655709,1.9909595049728204,
19,CHD1,LPS_6h,96,24.746714853517517,2917.504856448313,54.01393205875975,2.182670806144685,117.89463262973736,0.20990535617713516,4.7640518479962894,
20,CHD1,PAM_1h,96,20.905551168765584,1531.9135485037555,39.139667199706174,1.872214077674436,73.27783592678226,0.28529160153766,3.5051855526423368,
22,CHD1,PAM_4h,85,15.840016239729767,1439.1773885795621,37.936491516474774,2.3949780696135177,90.85706522003632,0.17433995035354316,5.735919953929693,
23,CHD1,PAM_6h,64,15.133578095922667,869.8808591384134,29.49374271160602,1.9488942089347867,57.48018437046155,0.263283395167738,3.7981886376195484,
24,CHD1,PIC_1h,96,14.032993635631303,2104.6977775028645,45.87698527042578,3.2692229799021004,149.98209449470616,0.09356445969706484,10.687818892319967,
25,CHD1,PIC_2h,84,34.149381748801254,5119.141925320616,71.54817904964888,2.095152983323349,149.90438078722502,0.2278077636521713,4.389666023528733,
26,CHD1,PIC_4h,90,29.04149572738577,4089.6390272216827,63.95028559140047,2.2020314033307917,140.82053712423647,0.20623054222385487,4.848942301254973,
27,CHD1,PIC_6h,96,31.358850230609363,7689.489668707674,87.68973525280865,2.7963313261790046,245.20955367177223,0.1278859235337342,7.81946888577003,
28,CHD1,Unstimulated_Replicate,96,11.648917807232792,990.0179496767436,31.46455068289937,2.7010707091918094,84.98797622746066,0.1370654806046421,7.295782976053945,
30,LNPEP,Unstimulated,96,27.22337396390769,2085.8004333236045,45.67056418880333,1.6776232163343394,76.61799878622412,0.3553130386485954,2.8144196559839734,
31,LNPEP,LPS_1h,96,23.28717768335416,4513.6492827720795,67.18369804329083,2.8850081773247362,193.82551823780992,0.1201450556927312,8.323272183230593,
32,LNPEP,LPS_2h,96,18.65903906296493,1301.709741474756,36.07921481233698,1.9336051921316884,69.76295708916929,0.26746341957832154,3.738829039038624,
34,LNPEP,LPS_6h,96,31.61776348497652,3632.890828132044,60.27346703261764,1.906316588814296,114.90031006963055,0.27517561498150783,3.634042936788572,
35,LNPEP,PAM_1h,96,14.360155124326134,962.091877065327,31.017605920917354,2.1599770791036548,66.9973178378513,0.2143392539844799,4.6655009822531595,
36,LNPEP,PAM_2h,96,5.890802748625184,133.7004292297305,11.56289017632402,1.9628717289884825,22.69647023250506,0.2595470876431081,3.852865424462233,
37,LNPEP,PAM_4h,85,19.88774895771005,2458.208098755199,49.580319671772976,2.493008121592955,123.604139612905,0.1608987289583759,6.215089494328432,
39,LNPEP,PIC_1h,96,10.22761517045512,599.4510154531877,24.48368876319881,2.3938805239686496,58.611025685131715,0.1744998496596799,5.730663963036416,
40,LNPEP,PIC_2h,84,10.411454883231764,715.0489942449815,26.74040003898561,2.5683634361276955,68.67906572755824,0.15159575589645874,6.5964907400376624,
41,LNPEP,PIC_4h,90,35.19898425658498,5861.633749217842,76.56130712845649,2.175099899768656,166.52849146126297,0.2113691413866725,4.731059573973617,
42,LNPEP,PIC_6h,96,17.946477010530906,5344.715070648396,73.10755823202138,4.073643990913772,297.8141652822525,0.060260656149522585,16.594575364707882,
43,LNPEP,Unstimulated_Replicate,96,6.462642822738526,321.5518126689128,17.93186584460504,2.774695482398092,49.755467149994246,0.12988809457372913,7.69893502004038,
44,LNPEP,LPS_4h_Replicate,96,38.25595239229479,3287.996431551431,57.341053631333196,1.4988792604960055,85.9473160629945,0.4451093314450372,2.2466390375450525,
45,FPR1,Unstimulated,96,98.56627487601445,107811.53899143443,328.34667501199766,3.331227394207824,1093.7974385970203,0.09011382857363637,11.097075951920647,
46,FPR1,LPS_1h,96,51.63300135069826,32179.652595022882,179.38687966242927,3.4742679094714934,623.2380793914026,0.0828463520732211,12.070537506783426,
47,FPR1,LPS_2h,96,29.506286786686214,8385.960221043562,91.57488859421869,3.1035721050314935,284.20926976238377,0.10381887547635328,9.632159811129618,
48,FPR1,LPS_4h,95,106.50327956240488,70242.69701413432,265.03338848932657,2.4884997868448933,659.5355307624691,0.16148224711908948,6.192631189127079,
49,FPR1,LPS_6h,96,98.4583593991004,51696.47592349752,227.3685904506107,2.309286807522086,525.0592863724872,0.1875185563887963,5.3328055593955455,
50,FPR1,PAM_1h,96,33.16133233952066,21201.7278989754,145.60813129415337,4.390901119513285,639.3509067097352,0.0518671859091863,19.280012641343014,
51,FPR1,PAM_2h,96,175.3855833390028,115417.64274528212,339.73172172360074,1.9370561437021496,658.0794187752099,0.26651127255343005,3.7521865038542432,
54,FPR1,PIC_1h,96,38.189102104098936,29447.818787728444,171.60366775721442,4.493524547643024,771.1052935326207,0.04952514581912073,20.191762860270444,
55,FPR1,PIC_2h,84,115.75098926104998,117620.94046426634,342.959094447525,2.962904219108304,1016.1549479201352,0.11391076675655518,8.77880141160979,
56,FPR1,PIC_4h,90,92.55386725830117,65933.84245577706,256.77586034473154,2.774339613796109,712.3834412209662,0.12992141858276704,7.696960292678343,
58,FPR1,Unstimulated_Replicate,96,0.054223793649557914,0.2822611005839843,0.5312825054375349,9.797958971132712,5.205484190357558,0.010416666666666666,96.0,
59,FPR1,LPS_4h_Replicate,96,83.127802277274,59456.88273331588,243.83782055562236,2.933288429090158,715.2466576103693,0.11622256656885754,8.604181008234207,
60,FPR2,Unstimulated,96,77.82606392105949,43040.807238793815,207.46278519000413,2.6657237272135177,553.0384689947953,0.14072450341929454,7.106082989829128,
61,FPR2,LPS_1h,96,77.90217909068686,23842.718615181533,154.41087596144752,1.9821124102535816,306.05971352131166,0.2545326145489656,3.928769606881264,
62,FPR2,LPS_2h,96,149.78786230347012,75027.40407354131,273.911306947233,1.8286615666647867,500.8910796893265,0.29904278270712026,3.3440031253969127,
63,FPR2,LPS_4h,95,227.91269609502896,95161.44481537136,308.48248704808407,1.3535116399108422,417.53463692822737,0.5458533878093718,1.8319937593741376,
64,FPR2,LPS_6h,96,313.8559378985018,190326.67639893215,436.26445695120765,1.390014985449444,606.4141327811427,0.5175603946746632,1.9321416597740184,
65,FPR2,PAM_1h,96,53.041925795429194,14435.749074302437,120.1488621431865,2.265167795878561,272.1573332381989,0.19489434719367116,5.130985143485338,
66,FPR2,PAM_2h,96,250.74145157452827,231758.94359858191,481.4134850610044,1.919959711639115,924.2944959569072,0.2712787457583415,3.6862452943173527,
67,FPR2,PAM_4h,85,351.7713670823097,221885.98831637087,471.0477558765893,1.3390736141590809,630.7676209031889,0.5576877370125821,1.7931181441370634,
69,FPR2,PIC_1h,96,67.78085722347907,34278.888590641334,185.14558755379863,2.7315321041656118,505.7311163478061,0.13402548317170224,7.4612676360874115,
70,FPR2,PIC_2h,84,124.48588764721092,79393.42415534846,281.7683874307912,2.2634564668833304,637.770478693512,0.19518916570460146,5.123235177475968,
71,FPR2,PIC_4h,90,122.8071217314892,79862.164201635,282.5989458607993,2.3011608925961635,650.3056425037718,0.18884523477093607,5.29534145361397,
72,FPR2,PIC_6h,96,254.1721098414884,215416.3211117037,464.129638260372,1.8260447165104825,847.5214737212738,0.2999004954122008,3.334439306695848,
73,FPR2,Unstimulated_Replicate,96,1.225144602157475,124.89509196591342,11.175647272794244,9.121900592888359,101.943143483613,0.012017920580940422,83.209070426537,
74,FPR2,LPS_4h_Replicate,96,217.67540960694527,196391.6247145756,443.16094673896487,2.0358796960078176,902.2223735294605,0.2412658076250173,4.144806136616883,
75,MMP25,Unstimulated,96,32.109629030558374,6585.901055057574,81.15356464787959,2.527390290639816,205.10673134186158,0.1565508300019645,6.387701681220415,
76,MMP25,LPS_1h,96,2.004702742360124,65.8782325815831,8.116540678243602,4.048750224528575,32.861845893434094,0.06100396030281033,16.392378380620187,
77,MMP25,LPS_2h,96,5.719574893858099,457.4328230730737,21.387679235323166,3.7393826695564534,79.97671707459986,0.07151549979881086,13.982982749379143,
78,MMP25,LPS_4h,95,16.930623684940095,1359.9208373656195,36.8771045143951,2.178130304035848,80.32313886790115,0.2107814002735136,4.744251621359297,
79,MMP25,LPS_6h,96,14.831523538992865,1233.8347763682173,35.125984347320674,2.3683328455753445,83.190022462925,0.1782848844115023,5.60900046743101,
80,MMP25,PAM_1h,96,5.528495524004434,314.60216283490786,17.737028015846054,3.208292009794133,56.905565260733596,0.09715210627771848,10.293137620108878,
81,MMP25,PAM_2h,96,27.197917238657066,6712.673653325487,81.93090780240072,3.0123963935720166,246.80837118603333,0.11019852004191737,9.074532032005694,
82,MMP25,PAM_4h,85,10.230961951563476,789.8398145375296,28.104088929149253,2.7469644655314585,77.20093362450906,0.13252381119281492,7.545813774892531,
83,MMP25,PAM_6h,64,8.458537136584077,3428.000741996891,58.549131009750184,6.921897967027768,405.2711109076322,0.02087130542722527,47.91267146594312,
84,MMP25,PIC_1h,96,11.700937553785984,3638.3709592400132,60.31891046131397,5.155049344041414,310.94695980688937,0.03763001111524852,26.574533739501813,
85,MMP25,PIC_2h,84,24.96352543862759,5500.379669685212,74.16454455927854,2.9709162971236105,220.33665409991082,0.11329719760248325,8.826343644514665,
87,MMP25,PIC_6h,96,20.57588116628661,3068.0782899134106,55.390236413229104,2.691998265619141,149.1104203566469,0.13799090041509224,7.246854662096465,
88,MMP25,Unstimulated_Replicate,96,34.69290330954838,5912.658612622022,76.89381387746366,2.2164133451552472,170.42847523789416,0.2035628333887396,4.912488116582272,
90,TOR1AIP1,Unstimulated,96,38.41043978980427,7115.071392361811,84.35088258199681,2.196040530740995,185.2379569538396,0.20735728476737608,4.822594012657191,
91,TOR1AIP1,LPS_1h,96,23.586300372327358,827.079694848741,28.758993286426787,1.2193092105351249,35.066105399857996,0.6726238943097133,1.4867149508957895,
92,TOR1AIP1,LPS_2h,96,27.81866892917849,1745.5018643249134,41.77920373014442,1.5018405027396182,62.74570033414103,0.4433557802532307,2.255524895669189,
93,TOR1AIP1,LPS_4h,95,89.028610296574,11237.669604664141,106.00787520115729,1.190716948720435,126.22537369985868,0.7053146898045086,1.417806851970103,
94,TOR1AIP1,LPS_6h,96,83.21387687343436,9440.558709069785,97.16253758043676,1.16762421402644,113.44933157517193,0.7334893535119381,1.3633463051808619,
95,TOR1AIP1,PAM_1h,96,24.85160025802252,1561.092861746765,39.510667695532106,1.5898641248576095,62.81659311829699,0.3956215869781679,2.5276679355092524,
96,TOR1AIP1,PAM_2h,96,30.085357762186213,3535.778823646576,59.46241521874617,1.9764569758077963,117.52490535747052,0.2559913379268577,3.9063821772192995,
97,TOR1AIP1,PAM_4h,85,53.99761908072553,29364.97668410089,171.3621214974327,3.1735125439743785,543.8198421341643,0.09929321237860222,10.071181866762736,
98,TOR1AIP1,PAM_6h,64,57.27619170406726,11205.749204895308,105.85721139769035,1.8481887194007227,195.64410397242898,0.2927570549845901,3.4158015425200836,
99,TOR1AIP1,PIC_1h,96,23.667703210688103,5010.902156865251,70.78772603259164,2.9908996831016776,211.7189873583667,0.1117882883627575,8.945480914377717,
100,TOR1AIP1,PIC_2h,84,28.89999274264823,3993.2941722018763,63.19251674211018,2.1865928239094634,138.1763036330767,0.20915303118392384,4.7811881775723615,
101,TOR1AIP1,PIC_4h,90,80.11860354178161,30273.398513075514,173.99252430226855,2.171686931756517,377.85729125056486,0.21203402818196074,4.716224129562036,
102,TOR1AIP1,PIC_6h,96,64.46263363006854,8984.314016023918,94.78562135695435,1.4703963524186774,139.37243190500354,0.4625206918539412,2.1620654332061506,
103,TOR1AIP1,Unstimulated_Replicate,96,37.55198534189298,21712.838810538386,147.3527699452521,3.9239674974219114,578.2074799202574,0.06494551981076396,15.397520920823572,
104,TOR1AIP1,LPS_4h_Replicate,96,78.54345023723886,10685.597478871723,103.37116367184672,1.3161016400427572,136.04695804164578,0.5773260304224934,1.732123526923235,
105,TOR1AIP2,Unstimulated,96,8.430425373560501,385.08962667854416,19.62370063669297,2.3277236636524674,45.67855234046222,0.18455981946898964,5.418297454327665,
106,TOR1AIP2,LPS_1h,96,4.018307390564623,242.92416448741474,15.586024653111991,3.87875369856211,60.45435076913836,0.06646845660305971,15.044730254109245,
108,TOR1AIP2,LPS_4h,95,16.889234568027998,943.9907900785263,30.724433112403002,1.8191726207986707,55.89304750764363,0.30217057972582945,3.309389024263504,
109,TOR1AIP2,LPS_6h,96,25.36534930623452,1643.5660694323694,40.54091845817469,1.5982795256917743,64.79571992444035,0.3914664322861693,2.5544974422455238,
110,TOR1AIP2,PAM_1h,96,5.583062994755951,173.40089299976557,13.168177284642153,2.3585937140617497,31.058380169207698,0.1797602761103164,5.562964308011599,
111,TOR1AIP2,PAM_2h,96,2.583273611351817,122.1818379769765,11.053589370741815,4.278907709260235,47.297288773464146,0.05461779476884405,18.309051184366677,
112,TOR1AIP2,PAM_4h,85,5.666357102938805,300.9617951951463,17.348250493786004,3.0616232225795463,53.1138065829023,0.10668331771880278,9.373536757038364,
113,TOR1AIP2,PAM_6h,64,8.678888962950015,531.5609974902634,23.05560663895581,2.6565159131980702,61.2475859248212,0.14170173129113992,7.0570767970745765,
114,TOR1AIP2,PIC_1h,96,3.736812044158288,310.0788674241685,17.60905640357167,4.71232060790954,82.97951937639222,0.045032943938952436,22.205965511728927,
115,TOR1AIP2,PIC_2h,84,3.925508941226624,123.16069059277746,11.097778633257084,2.8270929449951283,31.374451679198774,0.12511800943534038,7.992454519641227,
116,TOR1AIP2,PIC_4h,90,15.361171193420908,860.012608486974,29.325971569361077,1.9090973728566483,55.98613527953598,0.27437455928549714,3.644652779048156,
118,TOR1AIP2,Unstimulated_Replicate,96,3.0091904870688944,127.28725347437066,11.282165283063824,3.749235992718172,42.2995001550583,0.07114009565214795,14.056770529093413,
119,TOR1AIP2,LPS_4h_Replicate,96,16.43346511635455,794.8711789805652,28.193459861829048,1.7156126028326777,48.36905505641115,0.3397516262657761,2.943326602998315,
120,CLCN7,Unstimulated,96,20.779213298755828,2010.588227153728,44.8395832624895,2.157905721347704,96.75959326497284,0.2147509368073992,4.656557102225155,
121,CLCN7,LPS_1h,96,17.68576865599286,1375.4487740715756,37.08704321015057,2.096999227544659,77.77150096360114,0.2274068063090387,4.397405760322897,
122,CLCN7,LPS_2h,96,14.50417204477308,786.0956232030511,28.03739686923611,1.9330573839504368,54.197897044825744,0.2676150337120468,3.7367108496453088,
123,CLCN7,LPS_4h,95,16.805496446274756,791.2120295632162,28.128491419968054,1.6737673599760419,47.08055082410868,0.3569519929590356,2.801497175321169,
124,CLCN7,LPS_6h,96,34.269466697000496,11480.632234465515,107.14771222226592,3.126623275746635,335.01053097713884,0.10229369983398837,9.775773108440617,
125,CLCN7,PAM_1h,96,7.314250912768108,320.5470350366162,17.90382738513238,2.4478005469949906,43.82499846663094,0.1668967750982877,5.991727517868974,
126,CLCN7,PAM_2h,96,21.352947805940953,3812.189937685614,61.74293431385986,2.8915414805950754,178.5322557021828,0.11960274473628285,8.36101213400196,
129,CLCN7,PIC_1h,96,17.301483500041662,3716.2331663605455,60.96091507154847,3.5234501753217686,214.79274689662293,0.0805496635711291,12.414701137975007,
