,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
0,SOD2,Unstimulated,96,45.84799859,5266.856866,72.57311394,1.5829069130000002,114.8764838,0.399106911,2.505594297,
1,SOD2,LPS_1h,96,94.85921293,11741.31073,108.35732890000001,1.14229631,123.776177,0.766376982,1.30484086,
2,SOD2,LPS_2h,96,105.1860497,11557.603790000001,107.5062965,1.022058503,109.87772450000001,0.957300947,1.044603584,
3,SOD2,LPS_4h,95,215.24660730000002,45819.87186,214.0557681,0.9944675590000001,212.87151719999997,1.011157388,0.988965726,
4,SOD2,LPS_6h,96,276.5996448,76901.86751,277.3118597,1.002574895,278.0259085,0.994870033,1.005156419,
5,SOD2,PAM_1h,96,31.74647154,2869.314379,53.56598155,1.6873050440000001,90.38215084,0.351247135,2.846998311,
6,SOD2,PAM_2h,96,157.89064230000002,30913.81354,175.82324519999997,1.113576097,195.7925631,0.806417975,1.240051724,
7,SOD2,PAM_4h,85,444.6192375,168938.0541,411.0207466,0.924433115,379.9611889,1.17017014,0.854576583,
8,SOD2,PIC_1h,96,48.82327864,8951.554187,94.61265342,1.937859481,183.3460275,0.266290354,3.75529937,
9,SOD2,PIC_2h,84,117.6934139,33822.34634,183.9085271,1.562606785,287.3767122,0.40954402,2.441739964,
10,SOD2,PIC_4h,90,133.4131586,49616.236639999996,222.74702390000002,1.6696031059999998,371.8991228,0.358734803,2.787574531,
11,SOD2,Unstimulated_Replicate,96,41.277827,8429.719087000001,91.81350166,2.224281371,204.21906140000002,0.202125241,4.94742762,
12,SOD2,LPS_4h_Replicate,96,339.30055239999996,140506.9878,374.8426173,1.104750979,414.1077484,0.819353305,1.220474725,
13,CHD1,Unstimulated,96,11.07037336,501.24178969999997,22.38842982,2.022373509,45.27776738,0.2444991,4.089994611,
14,CHD1,LPS_1h,96,22.44016874,1567.011532,39.58549648,1.764046293,69.83064832,0.321351287,3.111859323,
15,CHD1,LPS_2h,96,24.97562825,1874.697182,43.29777341,1.7336009719999999,75.06106208,0.332737475,3.0053723310000002,
16,CHD1,LPS_4h,95,24.61448679,1206.2685279999998,34.73137671,1.411013645,49.00644643,0.5022703860000001,1.990959505,
17,CHD1,LPS_6h,96,24.74671485,2917.504856,54.01393206,2.182670806,117.8946326,0.20990535600000002,4.764051848,
18,CHD1,PAM_1h,96,20.90555117,1531.913549,39.139667200000005,1.872214078,73.27783593,0.285291602,3.505185553,
19,CHD1,PAM_4h,85,15.84001624,1439.177389,37.93649152,2.39497807,90.85706522,0.17433995,5.735919954,
20,CHD1,PAM_6h,64,15.1335781,869.8808591,29.49374271,1.948894209,57.48018437,0.263283395,3.798188638,
21,CHD1,PIC_1h,96,14.03299364,2104.697778,45.87698527,3.26922298,149.98209450000002,0.09356446,10.68781889,
22,CHD1,PIC_2h,84,34.14938175,5119.141925,71.54817905,2.095152983,149.9043808,0.227807764,4.389666023999999,
23,CHD1,PIC_4h,90,29.04149573,4089.639027,63.95028559,2.2020314030000003,140.8205371,0.206230542,4.848942301,
24,CHD1,Unstimulated_Replicate,96,11.64891781,990.0179497000001,31.46455068,2.7010707089999997,84.98797623,0.137065481,7.295782976,
25,LNPEP,Unstimulated,96,27.22337396,2085.800433,45.67056419,1.677623216,76.61799879,0.355313039,2.814419656,
26,LNPEP,LPS_1h,96,23.28717768,4513.649283,67.18369804,2.885008177,193.82551819999998,0.120145056,8.323272183,
27,LNPEP,LPS_2h,96,18.65903906,1301.7097410000001,36.07921481,1.933605192,69.76295709,0.26746342,3.7388290389999996,
