,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
0,SOD2,Unstimulated,96,45.84799859071958,5266.856866301374,72.57311393554347,1.5829069134161402,114.87648377670898,0.3991069110353044,2.505594296540612,
1,SOD2,LPS_1h,96,94.85921293114,11741.3107300477,108.35732891709587,1.1422963101723647,123.77617700213187,0.7663769816505657,1.304840860233399,
2,SOD2,LPS_2h,96,105.1860496997823,11557.603791320873,107.50629651941729,1.0220585032545413,109.87772451107452,0.9573009467372129,1.044603584074913,
3,SOD2,LPS_4h,95,215.2466072762046,45819.87185801109,214.05576810263975,0.9944675589147067,212.87151717664472,1.011157387944903,0.9889657257337758,
4,SOD2,LPS_6h,96,276.59964475081773,76901.86751306732,277.3118596689787,1.002574894551302,278.0259084654517,0.9948700330753124,1.0051564191845543,
5,SOD2,PAM_1h,96,31.746471538751262,2869.314379194418,53.56598154794158,1.687305043729234,90.38215083814892,0.35124713501895954,2.8469983105941123,
6,SOD2,PAM_2h,96,157.890642254835,30913.813542673397,175.82324517160237,1.113576097105389,195.7925631385969,0.8064179748393608,1.2400517240444708,
7,SOD2,PAM_4h,85,444.6192374973896,168938.05409666442,411.02074655260947,0.9244331146490768,379.9611889210176,1.1701701396397421,0.8545765834597933,
8,SOD2,PAM_6h,64,756.9009678404383,318242.7443003502,564.1300774647193,0.745315571565821,420.4549311230881,1.8001952452279735,0.5554953012184863,
9,SOD2,PIC_1h,96,48.823278637492244,8951.554187262574,94.61265342047318,1.9378594813953867,183.3460274908396,0.26629035439522447,3.7552993696339967,
10,SOD2,PIC_2h,84,117.69341389796946,33822.346338167015,183.908527094768,1.562606784897935,287.3767122388702,0.4095440196982336,2.441739964209061,
11,SOD2,PIC_4h,90,133.4131585603508,49616.23664378832,222.74702387189893,1.6696031056871878,371.89912283910064,0.3587348029806217,2.787574530520303,
12,SOD2,PIC_6h,96,363.0303910114132,2063151.860053317,1436.3675922455634,3.956604261818967,5683.138137017444,0.06387850906645996,15.654717284644008,
13,SOD2,Unstimulated_Replicate,96,41.27782700403571,8429.719087267948,91.8135016610735,2.2242813714999325,204.21906139690395,0.20212524101171633,4.947427619601622,
14,SOD2,LPS_4h_Replicate,96,339.30055239468976,140506.9877767579,374.84261734327634,1.1047509787347545,414.10774838148154,0.8193533053192755,1.2204747250153978,
0,CHD1,Unstimulated,96,11.070373358289396,501.2417897189891,22.388429818077665,2.0223735093192143,45.277767379332666,0.24449909964735897,4.089994611196115,
