,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
0,CCL4,Unstimulated,96,18.06422327,27315.03906,165.2726204,9.149168382,1512.107033,0.011946392,83.70728208,
1,CCL4,LPS_1h,96,862.7734105,1725687.856,1313.65439,1.522594894,2000.163467,0.431351449,2.318295212,
2,CCL4,LPS_2h,96,7980.862501,65474301.24,8091.619198,1.013877785,8203.912952,0.972811699,1.027948164,
3,CCL4,LPS_4h,95,7501.849617,87898584.01,9375.424471,1.249748389,11716.92163,0.640257728,1.561871035,
4,CCL4,LPS_6h,96,1481.778316,6592301.094,2567.547681,1.732747506,4448.91184,0.333065336,3.002413919,
5,CCL4,PAM_1h,96,50.84310762,25014.14112,158.1585948,3.110718488,491.9868649,0.103342409,9.676569509,
6,CCL4,PAM_2h,96,359.8653417,1028815.504,1014.305429,2.818569369,2858.890214,0.125875887,7.944333289,
7,CCL4,PAM_4h,85,1206.203933,9299753.558,3049.54973,2.528220683,7709.934703,0.156448009,6.391899823,
8,CCL4,PAM_6h,64,2194.953809,31938136.47,5651.383589,2.574716409,14550.71006,0.15084857,6.629164589,
9,CCL4,PIC_1h,96,64.98967411,68856.40467,262.4050393,4.037642024,1059.497614,0.061340085,16.30255311,
10,CCL4,PIC_2h,84,1337.816463,18322537.73,4280.483352,3.199604334,13695.85309,0.097680404,10.2374679,
11,CCL4,PIC_4h,90,3026.661555,148161243.1,12172.15031,4.021642355,48952.03522,0.061829126,16.17360723,
12,CCL4,PIC_6h,96,931.6358368,6386611.41,2527.17459,2.71262063,6855.265929,0.135900758,7.358310681,
13,CCL4,Unstimulated_Replicate,96,151.8244722,1690610.486,1300.234781,8.564065872,11135.29631,0.013634525,73.34322426,
14,CCL4,LPS_4h_Replicate,96,745.3541526,10134306.16,3183.442501,4.271046844,13596.63205,0.054819028,18.24184114,
0,CCL17,Unstimulated,96,1971.781052,26830261.36,5179.793563,2.626961831,13607.11999,0.144908037,6.900928464,
1,CCL17,LPS_1h,96,11513.80939,137204353.3,11713.4262,1.017337165,11916.5038,0.966207001,1.034974906,
2,CCL17,LPS_2h,96,11111.59265,185096205.3,13605.00662,1.224397533,16657.93655,0.667044962,1.499149319,
3,CCL17,LPS_4h,95,10172.69251,152195617.4,12336.75879,1.21273289,14961.19314,0.679938586,1.470721063,
4,CCL17,LPS_6h,96,9798.808098,149679833.1,12234.37097,1.248557054,15275.31018,0.641480139,1.558894718,
5,CCL17,PAM_1h,96,1939.81387,15668673.49,3958.367528,2.040591414,8077.410793,0.24015293,4.164013321,
6,CCL17,PAM_2h,96,4697.634875,70029330.55,8368.352918,1.781397052,14907.35922,0.315121867,3.173375457,
7,CCL17,PAM_4h,85,4999.273417,70735014.59,8410.411083,1.682326687,14149.05901,0.353329039,2.83022308,
8,CCL17,PAM_6h,64,2982.828145,45126995.65,6717.66296,2.252111967,15128.92914,0.19716056,5.072008312,
9,CCL17,PIC_1h,96,740.3570739,9040885.286,3006.806493,4.061292313,12211.5201,0.060627757,16.49409525,
10,CCL17,PIC_2h,84,1540.138954,10371334.38,3220.455617,2.091016274,6734.025105,0.228710011,4.372349058,
11,CCL17,PIC_4h,90,1554.394425,8492714.19,2914.226174,1.874830562,5463.680296,0.28449586,3.514989638,
12,CCL17,PIC_6h,96,634.665482,2230658.872,1493.539043,2.353269691,3514.700162,0.180574573,5.537878239,
13,CCL17,Unstimulated_Replicate,96,4624.870088,149164595.1,12213.29583,2.64078679,32252.7103,0.143394773,6.97375487,
14,CCL17,LPS_4h_Replicate,96,5103.71455,43028797.11,6559.633916,1.285266614,8430.878469,0.605359758,1.651910268,
0,PRDX1,Unstimulated,96,6189.797234,49972207.43,7069.102307,1.142057169,8073.31897,0.766697966,1.304294578,
1,PRDX1,LPS_1h,96,2931.61331,3884381.538,1970.883441,0.672286292,1324.99792,2.212541821,0.451968858,
2,PRDX1,LPS_2h,96,3343.908329,10658906.23,3264.798038,0.976341968,3187.559341,1.04904975,0.953243638,
3,PRDX1,LPS_4h,95,6042.16759,28254017.58,5315.450835,0.87972582,4676.139342,1.292127362,0.773917518,
4,PRDX1,LPS_6h,96,8516.84648,68076119.62,8250.825391,0.968765307,7993.113388,1.06552304,0.938506219,
5,PRDX1,PAM_1h,96,1786.227382,3260327.401,1805.637672,1.01086664,1825.258885,0.978615909,1.021851363,
6,PRDX1,PAM_2h,96,1642.154833,3008662.221,1734.549573,1.056264329,1832.142841,0.896302841,1.115694333,
7,PRDX1,PAM_4h,85,4012.301973,14562687.2,3816.108908,0.951102119,3629.50927,1.105466793,0.904595241,
8,PRDX1,PAM_6h,64,7297.985044,50424983.94,7101.055128,0.973015851,6909.439199,1.056234064,0.946759846,
9,PRDX1,PIC_1h,96,2201.264082,14884947.39,3858.101527,1.752675455,6761.999848,0.325534477,3.07187125,
10,PRDX1,PIC_2h,84,2087.151062,4936237.771,2221.764563,1.06449629,2365.060134,0.882493866,1.133152352,
11,PRDX1,PIC_4h,90,4745.885867,41870021.68,6470.704883,1.363434576,8822.382766,0.537936972,1.858953842,
12,PRDX1,PIC_6h,96,9475.753608,61281092.4,7828.22409,0.826132085,6467.147093,1.465213868,0.682494223,
13,PRDX1,Unstimulated_Replicate,96,6080.594618,61982699.35,7872.909205,1.294759756,10193.526,0.596515339,1.676402827,
14,PRDX1,LPS_4h_Replicate,96,6901.483558,78182685.93,8842.097372,1.281187921,11328.38835,0.609220248,1.641442489,
0,CXCL10,Unstimulated,96,74.82163482,367001.0787,605.8061396,8.096670715,4905.012829,0.015254116,65.55607668,
1,CXCL10,LPS_1h,96,175.5418294,81841.34848,286.0792696,1.62969288,466.2213488,0.376520358,2.655898884,
2,CXCL10,LPS_2h,96,1762.357137,6369887.385,2523.863583,1.432095419,3614.413475,0.487591458,2.050897289,
3,CXCL10,LPS_4h,95,7180.374735,61931673.43,7869.667937,1.095996829,8625.1311,0.832494562,1.201209048,
4,CXCL10,LPS_6h,96,7124.455025,48426120.81,6958.887901,0.976760731,6797.168435,1.048150431,0.954061526,
5,CXCL10,PAM_1h,96,1.460333256,203.7157106,14.27290127,9.773728844,139.4994668,0.010468379,95.52577552,
6,CXCL10,PAM_2h,96,106.465189,504708.4498,710.4283566,6.672869916,4740.596008,0.022458186,44.52719291,
7,CXCL10,PAM_4h,85,73.09663673,185393.9737,430.5740049,5.890476281,2536.285963,0.028820345,34.69771082,
8,CXCL10,PAM_6h,64,1218.84383,8575873.258,2928.459195,2.402653336,7036.072256,0.173227873,5.772743055,
9,CXCL10,PIC_1h,96,12.24331262,6127.869393,78.28070895,6.393752361,500.5074677,0.024461798,40.88006926,
10,CXCL10,PIC_2h,84,443.5491879,1247851.184,1117.072596,2.518486396,2813.332135,0.157659731,6.342773725,
