SOD2,13,5,3,3,PAM_6h;PIC_6h,
CHD1,13,4,3,4,PAM_2h,LPS_4h_Replicate
LNPEP,13,4,3,4,PAM_6h,LPS_4h
FPR1,12,5,2,3,PAM_4h;PAM_6h,PIC_6h
FPR2,14,5,3,4,PAM_6h,
MMP25,13,4,4,3,PIC_4h;LPS_4h_Replicate,
TOR1AIP1,15,5,4,4,,
TOR1AIP2,13,4,4,3,PIC_6h,LPS_2h
CLCN7,12,5,2,3,PAM_6h;PIC_6h,PAM_4h
AK178429,13,5,4,2,PIC_1h,PIC_2h
DUSP1,13,4,3,4,LPS_1h,PAM_1h
TOR3A,13,5,3,3,PAM_6h,PIC_6h
4930523C07RIK,14,4,4,4,LPS_4h_Replicate,
CDKN1A,13,4,4,4,Unstimulated_Replicate,LPS_2h
FTSJD2,12,5,4,2,PIC_4h;PIC_6h,Unstimulated
TNFSF4,12,3,4,4,LPS_6h;LPS_4h_Replicate,Unstimulated_Replicate
DAXX,14,5,4,3,PIC_6h,
TAPBP,13,4,4,3,PIC_6h;LPS_4h_Replicate,
PSMB9,14,4,4,4,LPS_4h_Replicate,
TAP1,13,4,4,3,LPS_4h,PIC_6h
TAP2,12,4,3,4,PAM_6h;LPS_4h_Replicate,Unstimulated_Replicate
CFB,13,5,3,3,PIC_6h,PAM_6h
TNF,13,4,3,4,LPS_1h;PAM_6h,
H2-Q7,14,5,4,3,PIC_6h,
IER3,12,4,3,3,LPS_1h;PIC_2h,PAM_1h
PPP1R10,15,5,4,4,,
H2-T24,12,4,3,3,LPS_6h;PIC_6h,PAM_6h
H2-T23,12,4,4,2,PIC_6h;LPS_4h_Replicate,PIC_4h
H2-T10,13,4,4,3,PIC_6h;LPS_4h_Replicate,
TRIM26,15,5,4,4,,
H2-M2,12,5,2,3,PAM_6h;PIC_6h,PAM_4h
OLFR110,15,5,4,4,,
NFKBIE,13,4,4,3,PIC_6h,LPS_4h
GTPBP2,13,4,4,3,LPS_4h_Replicate,PIC_1h
TREM1,15,5,4,4,,
EBI3,12,3,3,4,LPS_4h;LPS_4h_Replicate,PAM_4h
TNFSF9,13,4,4,3,LPS_2h,PIC_2h
RAB12,13,3,4,4,LPS_1h,LPS_6h
TGIF1,14,5,4,3,PIC_6h,
TRMT61B,13,5,3,4,PAM_6h,Unstimulated_Replicate
BIRC6,13,5,2,4,PAM_6h,PAM_2h
HEATR5B,14,5,4,3,PIC_6h,
GM6548,13,4,4,3,LPS_6h,PIC_4h
EIF2AK2,13,4,3,4,PAM_6h,LPS_6h
FBXO11,14,5,4,3,PIC_2h,
TAGAP,12,4,3,3,LPS_4h;PIC_2h,PAM_4h
MAP3K8,13,4,4,3,LPS_6h,PIC_6h
GYPC,14,5,4,3,PIC_4h,
FAM53C,11,4,3,2,LPS_4h;PIC_6h,PAM_1h;PIC_4h
EGR1,12,4,4,2,LPS_1h;PIC_2h,PIC_1h
FCGR4,13,5,4,2,PIC_1h,PIC_6h
CD14,13,4,3,4,LPS_4h_Replicate,PAM_4h
GM4951,13,4,4,3,LPS_6h,PIC_4h
F830016B08RIK,12,4,4,3,PIC_6h,Unstimulated_Replicate;LPS_4h_Replicate
IIGP1,12,4,4,3,Unstimulated;PIC_6h,LPS_6h
MALT1,15,5,4,4,,
PMAIP1,13,5,3,3,PAM_1h,PIC_2h
SLAMF7,12,2,4,4,LPS_6h;LPS_4h_Replicate,LPS_4h
TCF4,12,3,4,3,PIC_6h;LPS_4h_Replicate,LPS_6h
PSTPIP2,14,5,3,4,PAM_6h,
TSHZ1,13,5,2,4,PAM_2h,PAM_4h
RELA,14,4,4,4,LPS_2h,
BATF2,14,4,4,4,LPS_4h_Replicate,
EHD1,13,4,3,4,PAM_2h,LPS_2h
AIM2,12,3,4,3,LPS_4h;LPS_6h,PIC_6h
PYHIN1,13,4,4,3,PIC_6h,LPS_4h_Replicate
PLA2G16,12,3,4,3,LPS_4h,PIC_6h;LPS_4h_Replicate
E030037K03RIK,13,5,4,2,PIC_6h,PIC_4h
SLC3A2,12,3,4,4,Unstimulated_Replicate,LPS_6h;LPS_4h_Replicate
AI607873,14,4,4,4,LPS_4h,
IFI204,13,5,4,2,PIC_6h,PIC_4h
MNDAL,13,4,4,3,PIC_6h,LPS_2h
IFI203,11,3,4,2,LPS_4h;PIC_6h,LPS_6h;PIC_4h
SLC15A3,15,5,4,4,,
IFI205,13,4,4,3,PIC_4h,LPS_4h
CCDC86,14,5,4,3,PIC_6h,
AW112010,13,3,4,4,LPS_4h,LPS_4h_Replicate
MS4A4C,11,2,4,3,LPS_6h;PIC_6h,LPS_4h;LPS_4h_Replicate
MS4A6C,13,4,3,4,PAM_6h,LPS_6h
MS4A6B,12,3,4,3,PIC_6h,LPS_4h;LPS_4h_Replicate
MS4A6D,12,4,3,3,PAM_6h;PIC_1h,LPS_6h
TMEM2,13,4,3,4,LPS_4h,PAM_6h
JAK2,13,5,3,4,Unstimulated,PAM_6h
CD274,13,5,4,2,PIC_6h,PIC_4h
SGMS1,14,4,4,4,LPS_2h,
MINPP1,12,4,4,3,Unstimulated_Replicate,LPS_4h;PIC_2h
FAS,14,5,4,3,PIC_6h,
CH25H,11,3,3,3,LPS_4h;PIC_6h,LPS_6h;PAM_2h
IFIT2,14,5,4,3,PIC_6h,
IFIT3,12,4,4,2,PIC_4h;PIC_6h,LPS_4h_Replicate
GM14446,13,4,4,3,PIC_6h,LPS_6h
I830012O16RIK,12,4,4,2,PIC_4h;PIC_6h,LPS_4h
IFIT1,12,4,4,2,PIC_6h,LPS_4h;PIC_4h
PCGF5,13,5,4,3,PIC_6h,Unstimulated_Replicate
CCNJ,11,2,4,3,LPS_6h;LPS_4h_Replicate,LPS_4h;PIC_4h
BLNK,13,5,4,2,PIC_6h,PIC_2h
PIK3AP1,12,5,3,2,PAM_6h;PIC_2h,PIC_6h
AKT3,12,3,4,3,LPS_6h;PIC_6h,LPS_4h_Replicate
PI4K2A,13,5,4,2,PIC_2h,PIC_6h
NFKB2,15,5,4,4,,
CASP7,13,5,4,3,Unstimulated_Replicate,PIC_6h
AIDA,12,3,4,3,LPS_6h;PIC_6h,LPS_4h_Replicate
FRMD4A,13,4,4,3,PIC_6h,LPS_6h
OPTN,14,5,3,4,PAM_2h,
BC031781,13,5,3,3,PIC_2h,PAM_4h
PFKFB3,12,5,3,2,PAM_1h;PIC_4h,PIC_6h
IL15RA,13,5,4,2,PIC_6h,PIC_4h
BPAG1,13,4,4,4,Unstimulated_Replicate,LPS_6h
IL1F9,13,5,3,4,PAM_6h,Unstimulated_Replicate
IL1RN,13,4,4,3,LPS_4h_Replicate,PIC_6h
SLC2A6,14,5,4,3,PIC_6h,
GBGT1,13,5,3,3,PIC_4h,PAM_6h
RALGDS,13,5,4,3,PIC_2h,Unstimulated_Replicate
TBC1D13,13,5,4,2,PIC_6h,PIC_1h
PTGES,12,5,2,3,PAM_6h;PIC_6h,PAM_4h
LCN2,11,3,2,4,PAM_4h;PAM_6h,LPS_6h;LPS_4h_Replicate
SLC25A25,12,5,2,3,PAM_6h;PIC_2h,PAM_2h
HSPA5,13,4,4,3,PIC_4h,LPS_1h
TRAF1,13,5,4,2,PIC_2h,PIC_6h
KYNU,15,5,4,4,,
ZEB2,14,5,4,3,PIC_6h,
RND3,13,5,4,2,PIC_4h,PIC_6h
RBM43,13,5,4,2,PIC_4h,PIC_1h
NMI,12,3,4,3,PIC_4h;LPS_4h_Replicate,LPS_4h
GPD2,14,5,3,4,PAM_6h,
LY75,12,4,4,2,PIC_4h;LPS_4h_Replicate,PIC_2h
AK050909,14,5,4,4,Unstimulated_Replicate,
TANK,15,5,4,4,,
IFIH1,13,4,4,3,PIC_6h,LPS_2h
GCA,13,5,3,4,Unstimulated,PAM_6h
LASS6,13,5,4,2,PIC_1h,PIC_4h
DYNC1I2,13,4,4,3,LPS_6h;PIC_6h,
LNP,13,4,4,3,PIC_6h,LPS_1h
ITGA4,15,5,4,4,,
ITGAV,12,3,3,4,LPS_4h;LPS_6h,PAM_2h
CALCRL,14,5,3,4,PAM_2h,
UBE2L6,13,4,4,3,PIC_6h;LPS_4h_Replicate,
