,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
9781,1110018G07RIK,LPS_1h,96,3.92845854,131.3988171,11.46293231,2.917921163,33.44793277,0.117449965,8.514263912,
9790,1110018G07RIK,PIC_2h,84,4.571211989,155.0944987,12.45369418,2.724374675,33.92852903,0.134730627,7.422217372,
9786,1110018G07RIK,PAM_2h,96,6.264592917,336.1510704,18.3344231,2.926674301,53.65888492,0.116748474,8.565422467,
9785,1110018G07RIK,PAM_1h,96,8.184103102,413.6737002,20.33896999,2.485180078,50.54600303,0.161913952,6.176120022,
9787,1110018G07RIK,PAM_4h,85,10.1995857,1038.365164,32.22367397,3.159312046,101.8046413,0.100187826,9.981252601,
9793,1110018G07RIK,Unstimulated_Replicate,96,11.27605171,2458.171864,49.57995425,4.396925053,217.999343,0.051725164,19.33294992,
9792,1110018G07RIK,PIC_6h,96,14.05196206,1150.320437,33.91637418,2.413639748,81.86190883,0.171654464,5.825656834,
9788,1110018G07RIK,PAM_6h,64,15.16855366,2371.103274,48.69397575,3.210192405,156.3170311,0.097037115,10.30533527,
9780,1110018G07RIK,Unstimulated,96,19.85438414,5283.555222,72.68806795,3.661058809,266.1152915,0.074608205,13.4033516,
9791,1110018G07RIK,PIC_4h,90,26.33176398,3426.246123,58.53414493,2.222948109,130.1183668,0.202367772,4.941498294,
9794,1110018G07RIK,LPS_4h_Replicate,96,29.00804978,2275.048379,47.69746722,1.644283831,78.4281741,0.369867718,2.703669315,
9783,1110018G07RIK,LPS_4h,95,29.77353865,1686.469239,41.06664388,1.379300068,56.64322469,0.525632833,1.902468677,
9784,1110018G07RIK,LPS_6h,96,30.28017658,3675.218517,60.62358053,2.002088078,121.3737479,0.249478797,4.008356674,
11372,1110038F14RIK,LPS_2h,96,11.77563937,685.4481951,26.18106558,2.223324335,58.20900024,0.202299289,4.9431711,
11371,1110038F14RIK,LPS_1h,96,16.60274569,2020.491821,44.94988121,2.707376361,121.6962458,0.136427756,7.329886761,
11370,1110038F14RIK,Unstimulated,96,16.65581922,1308.767196,36.17688759,2.172026913,78.57717348,0.211967655,4.71770091,
11383,1110038F14RIK,Unstimulated_Replicate,96,19.98107926,4897.118792,69.97941691,3.502284135,245.0878017,0.081526209,12.26599416,
11378,1110038F14RIK,PAM_6h,64,20.63117234,5982.476501,77.34647052,3.749009956,289.972688,0.071148674,14.05507565,
11380,1110038F14RIK,PIC_2h,84,24.11468628,3822.592906,61.82712112,2.563878311,158.5172149,0.152126608,6.573471992,
11382,1110038F14RIK,PIC_6h,96,28.23235118,7208.460904,84.90265546,3.007282493,255.3262694,0.110573625,9.043747996,
11384,1110038F14RIK,LPS_4h_Replicate,96,32.07682779,5111.946473,71.4978774,2.228957236,159.3657112,0.201278102,4.968250359,
11379,1110038F14RIK,PIC_1h,96,34.01088205,11486.3078,107.1741937,3.151173604,337.7244903,0.100705999,9.92989508,
11376,1110038F14RIK,PAM_2h,96,35.43787721,8289.700286,91.04779122,2.569222493,233.9220331,0.151494396,6.600904216,
11373,1110038F14RIK,LPS_4h,95,45.13874478,10535.36693,102.6419355,2.273920908,233.3996433,0.193396803,5.170716297,
11375,1110038F14RIK,PAM_1h,96,50.47439493,13045.75116,114.2179984,2.262889898,258.4627547,0.195286919,5.12067069,
