gene,N,intercept,slope,min x,max x,R2,
1810029B16RIK,13,-49080.9853954,962.5609912025584,38.37154043,375.1240202,0.913367541361,
2310016C08RIK,13,7582.86226207,721.7992533624306,0.252368551,444.7887326,0.883625666588,
2810474O19RIK,12,-17152.7702811,406.7383160942259,48.9365954,137.1790255,0.695133810526,
A130040M12RIK,13,-7435.4361515,356.873626448209,40.7591563,212.1052418,0.629251423053,
AA467197,12,-475146.424569,1991.317841676458,201.1476364,2561.359338,0.897582428254,
ACPP,13,-7041.15462438,516.9715551242114,2.272790639,278.3647092,0.960004568013,
ADAP2,14,-1062.3728042,267.4606260696295,4.994439646,123.155978,0.91147829672,
AFTPH,13,-448.977437392,147.5509463569387,14.45663809,117.3901331,0.939009970771,
AI607873,14,-7806.25090162,625.4867026052842,14.16483496,296.8929208,0.866421006204,
AK042010,15,-3558.8127718,523.6267783847044,7.180521327,186.9738048,0.701419148369,
AK138792,13,-1066577.84685,11311.34641235004,32.60968019,521.4285,0.863403886408,
AK139487,12,-34024.7957395,1679.0089690835678,15.31746099,104.2181727,0.917181795891,
AK139528,12,-74986.8201289,2610.9588498087232,18.25843424,107.1094135,0.785318689572,
AK142678,13,-162922.872938,5006.256536582092,12.08791393,275.5250194,0.598035758045,
AK172683,12,-1900.92879373,215.6221558442319,1.013089573,117.0517404,0.916366505793,
AK217941,12,-1495255.31637,13038.365732938273,1.498881356,878.3833408,0.873763265853,
ANXA7,12,-10550.5946556,418.1327840291278,32.04576206,113.6859488,0.697918482921,
APOBEC3,15,-1573.56345269,312.2115463786582,8.141155075,150.9647309,0.823631736341,
APOL7C,14,-539999.563876,7140.922362264454,1.553647844,1493.593547,0.92827843347,
ARF4,13,-74104.5591903,745.9511498291906,111.7542645,414.7784149,0.947736222701,
ARL5C,14,-14325.2501556,486.67300590845343,24.52232415,199.3778116,0.705706959565,
ATF3,13,-949.147851403,317.1988056963105,30.39170609,227.9409008,0.621236183954,
AW112010,13,-2768593.13916,5791.0031743950285,394.6589373,9751.219364,0.989266182578,
AY096003,13,-16006.78241,631.1635913804759,9.887574201,350.4414189,0.93918490575,
B3GNT2,13,-14104.8707179,639.1251721193994,11.83610278,115.456188,0.7591988384,
BATF,13,-1399.81090933,403.86900993191745,5.976636213,127.7288583,0.876811568975,
BCL2A1A,13,-223159.056711,1091.989502058589,211.5560898,1753.432047,0.869676097054,
BCL2A1B,14,-543928.977133,1768.7349073760847,684.8350929,3923.566199,0.857483863376,
BCL2A1C,13,3436.72685812,123.20011275807138,32.85498818,196.5336886,0.638360621606,
BCL2A1D,15,-239933.006889,1216.5218120509105,305.4748463,2835.777099,0.862848424695,
BHLHE40,13,-9605.3827661,444.77178932989517,35.46205608,285.2081199,0.877962371941,
BIRC3,13,-18101.8343163,553.9107568444584,27.56907445,208.117071,0.93749629428,
BIRC6,13,-155971.080987,2303.9786235200113,45.1992577,202.230576,0.351723258726,
BLNK,13,-9201.50826353,467.7784865500938,35.29561197,283.9114101,0.866666608151,
BST2,12,-4288.82673522,348.1380386040188,12.62376656,128.2190889,0.817317823202,
BTG1,13,-270838.922542,1188.6138660560825,933.8731359,2360.417879,0.515360251186,
CAR13,11,-932.226124508,288.17478633590315,3.40727526,117.2391994,0.951073228954,
CAR4,12,-3251.00075096,963.2401411903725,0.232706629,152.0738621,0.997219273443,
CASP1,11,-14909.6299736,612.0231681752432,39.94372351,134.3575153,0.736349398218,
CASP11,12,-1679.57315242,634.1835393043242,21.7399432,207.4042978,0.326807121276,
CASP7,13,-6011.33264078,503.4269181837095,30.09410498,120.2972008,0.669969875629,
CAV1,13,-8010.97701606,690.7110023095755,6.759834537,342.1319937,0.89207254815,
CCL17,13,-12356147.3366,16579.815745662003,634.665482,11111.59265,0.971878874114,
CCL2,11,-32725.602893,2212.192106794792,3.788796701,144.3819043,0.91903521099,
CCL22,14,-3117340.2376,9843.133642663619,126.8342521,3960.807436,0.79546226363,
CCL3,12,-478254.117485,3906.4689832653658,95.68598183,2058.910819,0.923763641549,
CCL4,12,-2179706.82346,12055.622915387612,18.06422327,2194.953809,0.756214400289,
CCL5,12,5169095.22998,19094.875677512035,85.2623608,30050.58931,0.931793201656,
CCND2,13,-6122.20712514,454.54006096204995,5.29676279,344.869133,0.987117514486,
CCNL1,12,-15896.8127072,397.26224149762123,34.81023523,127.6740224,0.522310508924,
CCR7,13,-82465.8144661,2282.5702575021996,38.83521203,1387.004948,0.970866078578,
CCRL2,12,-4367.77232832,448.35533617179857,20.65486649,205.7908398,0.851808356093,
CD14,13,-452294.055497,2240.1725677514382,199.486721,1737.113901,0.887008271785,
