gene,N,intercept,slope,min x,max x,R2,
CXCL1,26,-504.184146771,-641.654728015,0.287951322,2908.03889,0.665998618403,
RSAD2,24,-97.7659907569,-169.914633257,0.517836894,2007.822188,0.804631372439,
OASL1,24,40.0346342986,-90.4831564793,0.326281671,745.9987995,0.791911164641,
NT5C3,24,175.945326182,-71.2555881094,18.80172765,955.4835804,0.175085787667,
CCL4,26,-4793.56710807,-1878.11885582,18.06422327,22296.20698,0.574814146783,
EBI3,25,-474.118502702,-225.108414373,13.5959434,441.5756161,0.540645528022,
IRGM1,25,60.8416756483,-65.906300738,2.691831883,555.7094901,0.275326275543,
IFIT2,24,90.5740778595,-69.8734148601,0.53139658,861.2061955,0.791583681492,
PYHIN1,25,68.7561797869,-50.6684723522,6.611937544,538.6197246,0.133160218096,
CAR4,25,102.848183276,-169.708940539,0.232706629,220.9378354,0.489899996415,
SLFN8,24,50.5057534818,-39.5743940873,0.163726379,129.8532168,0.506124677852,
AW112010,24,-3806.46873036,-986.081841656,52.79839872,7064.296202,0.632581082089,
U90926,21,697.542333762,-347.26736943,0.015636051,221.931567,0.580915265716,
IL15,25,121.56324575,-76.1299167297,0.092633516,326.2696442,0.237942478097,
GM4902,25,2.38737262307,-94.3554764995,3.005378984,573.543104,0.574607563652,
GM14446,19,272.034195202,-175.443296052,0.011970413,295.6561487,0.739055336103,
FAM26F,20,93.8872562611,-68.3829038854,0.237109352,126.1472385,0.595346441634,
D14ERTD668E,24,39.294754126,-51.9171326134,0.779422531,273.5390635,0.568386594272,
GM4951,23,106.563298196,-62.4716781614,0.12097786,149.5653642,0.537081844213,
FGL2,24,-6.68278108945,-50.8915019021,1.507245479,113.7799671,0.37648903138,
APOL7C,22,-886.59117961,-641.570568553,0.862590744,896.0667677,0.640019865123,
TRIM30A,27,85.0596205362,-53.733613702,10.19053767,745.3654506,0.277579612097,
CCL3,24,-3850.49817407,-1098.82533216,95.68598183,5238.193884,0.496399196745,
CXCL3,25,-2018.88027761,-755.245743443,11.88162368,3511.567843,0.697354328476,
CFB,24,26.5737993504,-82.5954728576,0.611847045,113.0260765,0.467737085286,
TMEM39A,25,-112.294419138,-110.608519368,7.540165534,154.1095914,0.671512914677,
CCND2,24,-124.001277425,-109.022098529,5.29676279,366.0857949,0.473694857293,
MS4A6C,26,-126.79891913,-148.748242681,3.072205454,298.8791247,0.653915187928,
IRG1,24,-50.1977335984,-167.369498904,2.836097598,1441.051288,0.595668919266,
CCR7,23,333.804083991,-297.54564791,1.729561993,1387.004948,0.260635591474,
USP18,23,72.8308774956,-100.063202581,0.107241918,747.6894695,0.506937957192,
IFIT3,22,208.590757543,-156.552434908,0.03872119,716.5810824,0.681491076069,
ACPP,27,-180.895548376,-128.688418228,2.272790639,278.3647092,0.662271523371,
ACSL1,24,-110.879122048,-82.2048451845,3.202974307,130.4684339,0.737082507866,
STAT5A,27,-21.5218066051,-46.2413642663,2.033721799,171.1243614,0.488741290915,
TNFSF9,25,-144.890184893,-192.750054006,2.489807289,544.0985846,0.620417640885,
CD40,26,61.937367575,-158.681777724,0.033418005,1102.743321,0.658303645291,
IFI205,27,152.458345822,-124.92908754,0.09946793,1120.229687,0.58548970122,
MS4A4C,20,92.0152806477,-101.532611634,0.023659753,132.1833811,0.628042271753,
TARM1,24,-680.535952673,-316.88203722,9.568331771,542.3427554,0.651308688719,
NUDT17,23,-22.62091753,-138.63958335,0.408987759,159.6927757,0.672165402571,
AFTPH,27,28.4525139198,-27.6558168521,7.90228837,117.3901331,0.13914730153,
IRF7,23,100.66042385,-49.6429731157,0.025868083,227.5046414,0.430330699935,
TLR2,27,-36.481231876,-78.2939485914,4.323175563,269.4945395,0.447553063573,
IL15RA,27,25.8070621133,-80.2376583679,0.217830169,274.3821776,0.684986539529,
INHBA,26,109.196088911,-125.368050689,0.022743505,514.6216667,0.618477235361,
IIGP1,25,91.8114266529,-53.5426071092,0.013657415,116.1872236,0.680737279118,
TRIM30D,28,61.5698204994,-28.8243755646,0.306844105,218.7359588,0.337420546354,
TIMP1,21,-119.425361883,-223.240269086,2.050347076,120.6972294,0.701445219687,
CCL7,18,-574.999928224,-869.109461002,0.859383739,158.9347165,0.654517561239,
SRGN,26,-426.539622826,-224.660593848,383.0799657,3731.426279,0.201490690899,
