,Gene,Condition,Len,Mean,Var,Std,Noise,Burst Size,Frequency,CV2,CMap
19583,1110018G07RIK,hero_t0,38,1.178707436,25.06503618,5.006499394,4.247448723,21.26484946,0.055429851,18.04082065,
19577,1110018G07RIK,On_Chip_Stimulation_LPS_4h,90,1.761098821,55.06166779,7.420354964,4.213480172,31.26551851,0.056327191,17.75341516,
19561,1110018G07RIK,LPS_1h,96,3.92845854,131.3988171,11.46293231,2.917921163,33.44793277,0.117449965,8.514263912,
19570,1110018G07RIK,PIC_2h,84,4.571211989,155.0944987,12.45369418,2.724374675,33.92852903,0.134730627,7.422217372,
19574,1110018G07RIK,tr4_t2,72,5.144019792,483.016396,21.97763399,4.272462954,93.89862705,0.054782694,18.25393969,
19573,1110018G07RIK,tr3_t2,52,5.557392188,257.3942256,16.04351039,2.886877486,46.31564894,0.119989514,8.33406162,
19566,1110018G07RIK,PAM_2h,96,6.264592917,336.1510704,18.3344231,2.926674301,53.65888492,0.116748474,8.565422467,
19578,1110018G07RIK,Ifnar1_KO_LPS_4h,96,7.709437106,1359.966339,36.87772145,4.783451884,176.4028061,0.043703597,22.88141192,
19565,1110018G07RIK,PAM_1h,96,8.184103102,413.6737002,20.33896999,2.485180078,50.54600303,0.161913952,6.176120022,
19580,1110018G07RIK,Stat1_KO_LPS_4h,94,8.568673384,590.1557912,24.2931223,2.835108915,68.87364762,0.124411494,8.037842561,
19584,1110018G07RIK,ifnr_t275,61,9.78832639,1451.733602,38.10162204,3.892557371,148.3127497,0.065997875,15.15200289,
19567,1110018G07RIK,PAM_4h,85,10.1995857,1038.365164,32.22367397,3.159312046,101.8046413,0.100187826,9.981252601,
19588,1110018G07RIK,Unstimulated_Replicate,96,11.27605171,2458.171864,49.57995425,4.396925053,217.999343,0.051725164,19.33294992,
19585,1110018G07RIK,gpa_t4,46,12.62746551,2337.910728,48.35194647,3.829109368,185.1448912,0.068203154,14.66207855,
19572,1110018G07RIK,PIC_6h,96,14.05196206,1150.320437,33.91637418,2.413639748,81.86190883,0.171654464,5.825656834,
19568,1110018G07RIK,PAM_6h,64,15.16855366,2371.103274,48.69397575,3.210192405,156.3170311,0.097037115,10.30533527,
19579,1110018G07RIK,IFNB_2h,94,17.72534753,2552.370175,50.52098747,2.850211392,143.995494,0.123096543,8.123704982,
19582,1110018G07RIK,gpc_t4,56,17.97719274,1360.555783,36.88571244,2.051806029,75.68232718,0.237534883,4.209907981,
19560,1110018G07RIK,Unstimulated,96,19.85438414,5283.555222,72.68806795,3.661058809,266.1152915,0.074608205,13.4033516,
19586,1110018G07RIK,gpb_t4,53,21.24887193,2873.567817,53.60566963,2.52275367,135.2338998,0.157126815,6.364286077,
19571,1110018G07RIK,PIC_4h,90,26.33176398,3426.246123,58.53414493,2.222948109,130.1183668,0.202367772,4.941498294,
19575,1110018G07RIK,tr1_t4,81,27.77408651,4745.424937,68.88704477,2.480263203,170.8580023,0.162556545,6.151705556,
19589,1110018G07RIK,LPS_4h_Replicate,96,29.00804978,2275.048379,47.69746722,1.644283831,78.4281741,0.369867718,2.703669315,
19563,1110018G07RIK,LPS_4h,95,29.77353865,1686.469239,41.06664388,1.379300068,56.64322469,0.525632833,1.902468677,
19564,1110018G07RIK,LPS_6h,96,30.28017658,3675.218517,60.62358053,2.002088078,121.3737479,0.249478797,4.008356674,
19576,1110018G07RIK,tr2_t4,56,37.61494883,5444.851582,73.78923758,1.9616998,144.7523326,0.25985729,3.848266104,
22763,1110038F14RIK,hero_t0,38,5.867909445,346.8203176,18.62311246,3.173721857,59.10457904,0.099280116,10.07251042,
22757,1110038F14RIK,On_Chip_Stimulation_LPS_4h,90,7.735155689,560.3530892,23.67177833,3.060284664,72.44238019,0.106776664,9.365342226,
22742,1110038F14RIK,LPS_2h,96,11.77563937,685.4481951,26.18106558,2.223324335,58.20900024,0.202299289,4.9431711,
22741,1110038F14RIK,LPS_1h,96,16.60274569,2020.491821,44.94988121,2.707376361,121.6962458,0.136427756,7.329886761,
22740,1110038F14RIK,Unstimulated,96,16.65581922,1308.767196,36.17688759,2.172026913,78.57717348,0.211967655,4.71770091,
22768,1110038F14RIK,Unstimulated_Replicate,96,19.98107926,4897.118792,69.97941691,3.502284135,245.0878017,0.081526209,12.26599416,
22748,1110038F14RIK,PAM_6h,64,20.63117234,5982.476501,77.34647052,3.749009956,289.972688,0.071148674,14.05507565,
22753,1110038F14RIK,tr3_t2,52,20.81665527,3140.876216,56.04352074,2.692244263,150.8828472,0.137965684,7.248179172,
22758,1110038F14RIK,Ifnar1_KO_LPS_4h,96,21.52744252,2966.328638,54.46401232,2.529980618,137.7928955,0.156230424,6.400801927,
22764,1110038F14RIK,ifnr_t275,61,21.66464857,16695.44836,129.2108678,5.964134032,770.6309341,0.028112872,35.57089475,
22750,1110038F14RIK,PIC_2h,84,24.11468628,3822.592906,61.82712112,2.563878311,158.5172149,0.152126608,6.573471992,
22766,1110038F14RIK,gpb_t4,53,26.52222012,4468.849035,66.84945052,2.520507342,168.4945308,0.157407009,6.35295726,
