gene,N,intercept,slope,min x,max x,R2,
CXCL1,21,-185.553970283,-623.295012062,0.287951322,2908.03889,0.837954109718,
RSAD2,21,-78.0304043819,-170.23855858,0.517836894,2007.822188,0.85489084762,
OASL1,21,57.7503301831,-88.800648206,0.326281671,745.9987995,0.863845275008,
NT5C3,22,14.3300467086,-96.5325648682,18.80172765,955.4835804,0.499857946361,
CCL4,21,-7550.79427171,-2131.19129412,18.06422327,22296.20698,0.839929552282,
EBI3,24,-521.189755377,-230.592621878,13.5959434,441.5756161,0.692088539657,
IRGM1,23,-45.7716983422,-81.2301036005,2.691831883,555.7094901,0.807270361778,
IFIT2,22,65.5011900469,-71.8760484073,0.53139658,861.2061955,0.887873055281,
PYHIN1,23,2.46478840545,-56.5295069814,6.611937544,538.6197246,0.602748846921,
CAR4,24,77.2161753422,-160.75234635,0.232706629,220.9378354,0.733963213251,
SLFN8,23,36.7878091862,-39.6543406304,0.163726379,129.8532168,0.80444721032,
AW112010,23,-4301.83689102,-1037.12713791,52.79839872,7064.296202,0.795311263223,
U90926,19,612.30538115,-264.366133639,0.015636051,125.6071386,0.554951298483,
IL15,23,52.0924545821,-80.0294405284,0.092633516,326.2696442,0.570899180429,
GM4902,22,-14.1536742314,-96.0072762943,3.005378984,573.543104,0.660892899752,
GM14446,15,200.181567209,-174.629983796,0.027621191,295.6561487,0.810261522202,
FAM26F,18,83.2371169692,-70.4455040402,0.237109352,126.1472385,0.802505589318,
D14ERTD668E,23,34.7247158085,-48.9378427979,0.779422531,273.5390635,0.745122363655,
GM4951,20,88.9900532219,-53.9921485627,0.12097786,149.5653642,0.712178836097,
FGL2,23,-21.1262673345,-51.6869635853,1.507245479,113.7799671,0.708765192276,
APOL7C,20,-748.838295791,-596.766088851,0.862590744,896.0667677,0.732476625037,
TRIM30A,25,9.71358662021,-64.3438132584,10.19053767,745.3654506,0.584167443908,
CCL3,21,-5495.18344174,-1319.89167445,95.68598183,5238.193884,0.680246366969,
CXCL3,21,-1845.59310984,-742.558837606,11.88162368,3511.567843,0.812959079019,
CFB,20,68.962691965,-69.133204053,0.611847045,113.0260765,0.609931288793,
TMEM39A,22,-148.927816735,-117.933656126,7.540165534,154.1095914,0.859969357209,
CCND2,22,-112.997375076,-98.1789784827,5.29676279,366.0857949,0.699891169114,
MS4A6C,23,-116.600784139,-140.305063093,3.072205454,298.8791247,0.785773149257,
IRG1,21,-135.119255588,-176.401672324,2.836097598,1441.051288,0.813696712491,
CCR7,22,164.938893246,-309.294409111,1.729561993,1387.004948,0.438150207593,
USP18,20,58.6938275741,-95.1999296686,0.107241918,747.6894695,0.663947177693,
IFIT3,20,166.639124662,-138.18026554,0.03872119,716.5810824,0.847965005702,
ACPP,24,-246.272869819,-142.002484551,10.07585726,278.3647092,0.79962166263,
ACSL1,19,-112.64153616,-84.2121307087,3.202974307,130.4684339,0.896751237516,
STAT5A,23,-26.3065546039,-44.6946200734,2.033721799,171.1243614,0.709082717407,
TNFSF9,23,-198.438438226,-206.938913058,2.489807289,544.0985846,0.762764020987,
CD40,23,-265.367324825,-207.579059659,2.098320326,1102.743321,0.799723572389,
IFI205,23,109.372207282,-114.804858429,0.09946793,1120.229687,0.668010062895,
MS4A4C,16,59.2260219886,-92.671722059,0.321758346,132.1833811,0.771718161472,
TARM1,20,-584.943574668,-294.104213747,9.568331771,542.3427554,0.819380418336,
NUDT17,21,1.12009677354,-130.793155312,0.408987759,159.6927757,0.730024948378,
AFTPH,25,-4.12970436483,-33.5075292105,7.90228837,117.3901331,0.454984188528,
IRF7,22,92.6038729848,-44.4963179856,0.025868083,227.5046414,0.640955705277,
TLR2,24,-34.484255305,-76.1941513704,4.323175563,269.4945395,0.621309246059,
IL15RA,24,32.2793740819,-75.8531906165,0.217830169,274.3821776,0.783518991233,
INHBA,24,-65.9856816157,-160.333798837,0.870096261,449.5845785,0.644760376941,
IIGP1,22,72.0745128127,-49.2417081231,0.039577352,116.1872236,0.743539702061,
TRIM30D,27,50.4836798644,-29.515901252,0.306844105,218.7359588,0.481374129126,
TIMP1,18,-98.3056210639,-211.619410316,2.050347076,120.6972294,0.788340791927,
CCL7,15,-417.200983685,-738.50378128,0.859383739,158.9347165,0.785926845026,
SRGN,21,-39.005066397,-167.095780108,383.0799657,3731.426279,0.255637752865,
IL1A,22,-1650.10710246,-591.707723017,23.57742493,3196.030119,0.750332640418,
SERPINA3G,23,36.6072883593,-119.383045872,1.710509712,163.8540923,0.571169808806,
TAP1,24,35.9868285001,-31.9931560004,0.194636401,120.3273607,0.536563893048,
SLAMF7,23,187.224448105,-56.9760719961,104.2978601,892.8141058,0.166400636591,
IFIT1,22,87.4135260314,-115.191928263,0.324600396,1223.399455,0.738048446118,
CISH,25,85.6386228078,-70.5480355602,0.064270002,512.4694077,0.474845599069,
FAS,21,-459.307924739,-213.658899657,12.42289848,232.4357865,0.830942923862,
CXCL10,21,-807.879401243,-605.624642162,1.460333256,6512.74277,0.651422575961,
SLFN5,23,-3.38715555892,-42.0056913767,4.924495471,258.8585089,0.569234228187,
SLC2A6,23,-269.719501622,-120.835024642,18.81143843,358.3648585,0.679169920396,
CMPK2,21,99.8505818377,-52.7268057531,0.024997301,519.6056723,0.78268597799,
PCGF5,21,-140.80368133,-113.925078999,2.119948509,155.3634432,0.742725295765,
CAR13,22,-58.5699097964,-86.7768101751,3.40727526,132.3083096,0.48716762628,
GBP3,22,-31.9116378143,-78.0137927687,3.898482745,223.672367,0.56412623269,
UBE2L6,24,-91.1312923174,-108.071112199,15.8217876,411.5109841,0.39128580151,
MX2,21,113.68391289,-45.7906100039,0.008135934,116.0373716,0.785041616201,
ZDHHC21,23,-2526.35498138,-864.724174737,11.02663461,149.4916166,0.807185477811,
AK138792,22,-9472.58926402,-2808.13266022,11.32780748,521.4285,0.822765543629,
CH25H,24,-10.2477091253,-174.217086284,0.50425035,106.9170379,0.693976669045,
PTGS2,21,120.518060964,-45.2297728497,0.032737482,138.0924328,0.580648264932,
SAMHD1,22,-152.554808977,-74.2713742624,39.57602545,436.35753,0.493308739996,
SDC4,21,-2427.94692493,-706.586609125,17.58673236,2361.720675,0.775919421469,
ADAP2,22,28.8890499169,-51.9043916505,0.277501594,108.3108894,0.533023972772,
MS4A6D,23,-182.165993304,-147.335579159,35.29459915,642.6591041,0.306629223872,
ATF3,20,-337.031243568,-148.719399796,30.39170609,394.9543142,0.722523170276,
