gene,N,intercept,slope,min x,max x,R2
CXCL1,26,-479193.7471,4966.760627,0.287951322,2908.03889,0.983980056
RSAD2,24,-88762.5551,1441.703966,0.517836894,2007.822188,0.979077867
OASL1,24,-8464.503758,634.1527292,0.326281671,745.9987995,0.977652572
NT5C3,24,-17671.888,689.0602733,18.80172765,955.4835804,0.975557201
CCL4,26,-7320132.981,13955.47917,18.06422327,22296.20698,0.972767494
EBI3,25,-27762.75979,909.2655386,13.5959434,441.5756161,0.971354227
IRGM1,25,-4836.163261,453.5205424,2.691831883,555.7094901,0.969804629
IFIT2,24,-10405.4951,587.8817453,0.53139658,861.2061955,0.968111084
PYHIN1,25,472.1794527,313.8714968,6.611937544,538.6197246,0.967862097
CAR4,25,-2978.652524,926.9731907,0.232706629,220.9378354,0.966193351
SLFN8,24,-723.4916252,234.262746,0.163726379,129.8532168,0.962950693
AW112010,24,-1715498.038,4910.806203,52.79839872,7064.296202,0.962615042
U90926,21,-44959.08818,4217.479666,0.015636051,221.931567,0.961626069
IL15,25,-3995.445361,559.7136491,0.092633516,326.2696442,0.959806967
GM4902,25,-9923.54159,620.3444245,3.005378984,573.543104,0.959020796
GM14446,19,-11481.51688,1583.666421,0.011970413,295.6561487,0.958534931
FAM26F,20,-973.158832,382.786747,0.237109352,126.1472385,0.956035435
D14ERTD668E,24,-910.4623302,291.3286193,0.779422531,273.5390635,0.954312226
GM4951,23,92.28312811,343.6980051,0.12097786,149.5653642,0.951858385
FGL2,24,-1467.561105,239.2047041,1.507245479,113.7799671,0.950532619
APOL7C,22,-171199.1483,4172.655291,0.862590744,896.0667677,0.950106777
TRIM30A,27,-3070.567669,402.9645889,10.19053767,745.3654506,0.94963934
CCL3,24,-1859682.546,6034.398268,95.68598183,5238.193884,0.949011778
CXCL3,25,-906313.5509,4786.413451,11.88162368,3511.567843,0.947474583
CFB,24,-1623.582406,386.99361,0.611847045,113.0260765,0.944528838
TMEM39A,25,-5054.233447,452.9328579,7.540165534,154.1095914,0.944335301
CCND2,24,-6959.957511,491.8032028,5.29676279,366.0857949,0.944206807
MS4A6C,26,-5274.175193,647.5738878,3.072205454,298.8791247,0.941258443
IRG1,24,-34914.77225,1133.88023,2.836097598,1441.051288,0.940747373
CCR7,23,-11830.64601,2151.343455,1.729561993,1387.004948,0.939328827
USP18,23,-18567.97018,830.1866422,0.107241918,747.6894695,0.938615094
IFIT3,22,-2744.834624,1226.367778,0.03872119,716.5810824,0.937194408
ACPP,27,-10208.89708,591.0582658,2.272790639,278.3647092,0.936354377
ACSL1,24,-2741.985241,286.9374059,3.202974307,130.4684339,0.935755972
STAT5A,27,-2268.322529,224.1095171,2.033721799,171.1243614,0.932343544
TNFSF9,25,-30491.59827,1262.689878,2.489807289,544.0985846,0.931661301
CD40,26,-76363.29235,1352.173471,0.033418005,1102.743321,0.931517672
IFI205,27,-52951.58998,1229.304268,0.09946793,1120.229687,0.931062193
MS4A4C,20,-2454.222185,751.3125923,0.023659753,132.1833811,0.929824494
TARM1,24,-39858.55809,1298.917756,9.568331771,542.3427554,0.928487175
NUDT17,23,-6239.97892,708.1181773,0.408987759,159.6927757,0.925515075
AFTPH,27,-361.2730516,143.6138368,7.90228837,117.3901331,0.924016941
IRF7,23,-2535.723411,394.1674799,0.025868083,227.5046414,0.923701019
TLR2,27,-4778.053863,393.5924188,4.323175563,269.4945395,0.923414069
IL15RA,27,-5600.234565,491.899965,0.217830169,274.3821776,0.92084815
INHBA,26,-34240.08464,1122.796225,0.022743505,514.6216667,0.91962206
IIGP1,25,-1567.886532,437.3809563,0.013657415,116.1872236,0.91909523
TRIM30D,28,-973.7609829,210.4411262,0.306844105,218.7359588,0.918236851
TIMP1,21,-6089.494401,967.4171284,2.050347076,120.6972294,0.918142104
CCL7,18,-26685.77448,4039.335828,0.859383739,158.9347165,0.917906923
SRGN,26,-130025.6768,1344.053449,383.0799657,3731.426279,0.917567534
IL1A,27,-297479.8665,2973.979799,23.57742493,3196.030119,0.916155908
SERPINA3G,25,-3754.240272,658.377824,1.710509712,163.8540923,0.914843475
TAP1,26,-449.8195663,188.3118866,0.194636401,120.3273607,0.914722981
SLAMF7,27,-20873.86649,591.3606653,104.2978601,892.8141058,0.913128956
IFIT1,24,-4570.919851,848.1330611,0.324600396,1223.399455,0.911761769
CISH,26,-9886.137365,600.7099465,0.064270002,512.4694077,0.911474489
FAS,27,-15434.97876,716.7735001,12.42289848,232.4357865,0.909063272
CXCL10,25,-852734.9207,5694.099532,1.460333256,6512.74277,0.908588149
SLFN5,25,-694.5752688,229.8801507,4.924495471,258.8585089,0.908379785
SLC2A6,26,-13525.45219,449.5703652,13.47675118,358.3648585,0.907598965
CMPK2,24,-5283.816679,595.2701129,0.024997301,519.6056723,0.906522366
PCGF5,25,-6804.258368,491.5548459,2.119948509,155.3634432,0.906440569
CAR13,24,-4413.444672,401.6744928,3.40727526,132.3083096,0.904749205
GBP3,25,-2933.735575,390.727045,3.898482745,223.672367,0.90409724
UBE2L6,25,-10108.45266,553.1564399,15.8217876,411.5109841,0.903457319
MX2,23,-737.8085711,326.6192084,0.008135934,116.0373716,0.901085496
ZDHHC21,25,-57272.95383,2485.466044,11.02663461,149.4916166,0.900563094
AK138792,27,-518820.0091,9879.295854,11.32780748,521.4285,0.900444571
CH25H,25,-5735.704496,914.9504713,0.50425035,106.9170379,0.899666135
PTGS2,25,-1864.601973,389.2488299,0.032737482,138.0924328,0.898998451
SAMHD1,26,-16469.22103,353.2698728,39.57602545,436.35753,0.897268282
SDC4,24,-576418.1739,3559.55284,17.58673236,2361.720675,0.895015532
ADAP2,26,-1573.64485,300.2378148,0.277501594,108.3108894,0.894668836
MS4A6D,26,-30307.33929,799.4159991,35.29459915,642.6591041,0.894228472
ATF3,25,-25601.35969,586.6995521,30.39170609,394.9543142,0.893933464
TNFSF15,26,-4200.23546,480.6295679,0.264653321,513.2872843,0.891729432
RELA,25,-7363.440379,389.8113746,19.00618,130.3523819,0.888731907
ZFP36,26,-9852.555954,369.6063567,17.71474642,247.3551454,0.887633161
SLFN2,27,-58783.62475,607.3697418,135.7004811,1174.092182,0.885700304
GM12250,23,-872.6679042,231.0958831,0.013899912,203.4091487,0.884021091
STAT1,27,403.8521049,203.518868,2.834427902,230.5672664,0.883944012
BIRC3,27,-8910.948739,462.0569696,8.675446775,152.8109564,0.883883559
1190002H23RIK,24,-10940.22403,956.2502498,0.185896828,186.5176509,0.882276587
ALDH1A2,24,-13511.18289,1048.85054,0.096423535,155.6422826,0.880941085
OASL2,24,-334.4332308,297.6021999,0.22487366,271.8561919,0.880896915
IL27,20,-3261.969604,606.1238656,0.180285109,162.8703529,0.879899771
H1F0,27,-22303.37518,589.3190636,19.53064114,424.481472,0.87672258
CCL2,25,-513538.0571,6275.250229,3.788796701,1319.093998,0.876490441
DDX58,28,-899.0433118,211.3365803,0.132938869,123.5279084,0.876110572
GBP5,24,-647.6773155,212.0535863,0.769886596,207.0604864,0.876105259
CAV1,27,-2094.013166,622.5070061,0.672974249,406.8434218,0.874171203
NMI,26,-1833.144491,351.1683525,5.415643204,131.3692953,0.873112942
CCL17,25,-11640329.81,14943.25548,634.665482,11513.80939,0.872887947
SLPI,24,-181545.9849,3173.18179,26.59191777,413.4308858,0.871672735
H2-T23,25,-39011.12492,615.333074,105.4953237,799.8494806,0.871498861
NFKBIZ,25,-2935.72763,301.4864488,0.004788669,297.931381,0.870190882
DHX58,27,-290.0770613,202.3262665,0.24624868,101.9859948,0.86945993
THBS1,25,-4921.220821,548.4356238,9.883688306,271.4779681,0.869424303
HERC6,25,-155.3097873,231.2020929,0.594868334,159.9298028,0.868247655
CD86,26,-20952.38069,804.7003692,13.52820575,517.6581127,0.867914152
IGTP,22,-500.2807847,334.2789656,1.130385469,125.3435321,0.867665462
FABP3,25,-6523.414342,929.4202404,0.091006889,123.3021845,0.867205647
AK042010,24,-923.7063044,299.8449157,6.242138361,142.4083967,0.866133074
GBP6,28,-1103.972711,212.5603247,5.579511151,170.2810589,0.865979676
IL1RN,27,9754.09783,1215.303417,73.42574494,2208.966205,0.86202705
SERPINB9B,26,-31426.53775,2790.423526,0.003194841,137.6685886,0.861138953
INSIG1,25,-4799.660408,207.0867546,14.78947292,149.2858074,0.858978537
RTP4,26,1669.936416,426.9846142,0.095205795,529.4798984,0.858014719
IL1B,26,-762716.1616,4270.73203,0.059369373,4491.053955,0.858010755
IFI204,29,-1479.449641,575.3779678,28.10958668,1202.955587,0.85780119
CD69,23,-72253.80415,1744.690592,5.141685683,584.6387389,0.857698576
LGALS9,25,-17597.91404,674.199408,33.20707303,476.0952441,0.857684143
IFI27L2A,28,-103875.4711,1352.655379,5.308651779,1004.50122,0.85752048
IFI47,27,-2471.457766,626.4170048,0.295931186,1099.375838,0.853258735
CLU,26,-130396.6294,5083.299844,1.183422397,483.7459139,0.851088338
2310016C08RIK,25,11605.11929,810.1407467,0.252368551,588.1602323,0.850193831
KPNA3,27,-992.8181414,171.8099753,13.23981411,140.8698175,0.849195049
GLIPR2,24,-15230.64365,1120.206186,7.596182046,473.0906294,0.848927317
XAF1,27,-177.4708299,277.573531,0.162707889,266.0627397,0.847110891
SLC7A2,25,-3940.685972,272.6177496,6.144518655,205.9895384,0.846921706
