gene,N,intercept,slope,min x,max x,R2,
CXCL1,26,0.0554951427671,0.00018495886352500908,0.287951322,2908.03889,0.919393740004,
RSAD2,24,0.125755921955,0.0006676912889463261,0.517836894,2007.822188,0.914880182169,
OASL1,24,0.0589734582767,0.0015285521005825038,0.326281671,745.9987995,0.947868522131,
NT5C3,24,0.0741034232369,0.0014308999651666211,18.80172765,955.4835804,0.948211079325,
CCL4,26,0.100647826151,6.908584633078445e-05,18.06422327,22296.20698,0.936355178827,
EBI3,25,0.105793625808,0.0008839111272135647,13.5959434,441.5756161,0.737736015474,
IRGM1,25,0.0691175384503,0.0021440404052621505,2.691831883,555.7094901,0.944528072496,
IFIT2,24,0.0522805164661,0.0017133731485058108,0.53139658,861.2061955,0.958063817584,
PYHIN1,25,0.0507469972959,0.0030571815711257686,6.611937544,538.6197246,0.968350489912,
CAR4,25,0.0190298733957,0.0010016922247710752,0.232706629,220.9378354,0.899173082626,
SLFN8,24,0.0512746350561,0.003898940836211205,0.163726379,129.8532168,0.910106067358,
AW112010,24,0.176193642707,0.0001869833230413875,52.79839872,7064.296202,0.909394258024,
U90926,21,0.0196549249051,0.00014419125472932455,0.015636051,221.931567,0.456228563772,
IL15,25,0.0539309036176,0.0016769275772766218,0.092633516,326.2696442,0.905963166682,
GM4902,25,0.0691522778002,0.0015681081948111077,3.005378984,573.543104,0.887267502849,
GM14446,19,0.0265883960276,0.0005678701948063972,0.011970413,295.6561487,0.86651742464,
FAM26F,20,0.023955653891,0.002482478004239683,0.237109352,126.1472385,0.828259695706,
D14ERTD668E,24,0.0386346572793,0.0033834992992203515,0.779422531,273.5390635,0.940773309571,
GM4951,23,0.0244352922615,0.0027119083761614608,0.12097786,149.5653642,0.932795671251,
FGL2,24,0.084713377638,0.0036882491668931826,1.507245479,113.7799671,0.709776295838,
APOL7C,22,0.0406929117172,0.0002078237995094018,0.862590744,896.0667677,0.70203464608,
TRIM30A,27,0.0512317986447,0.002487833022100343,10.19053767,745.3654506,0.925836041494,
CCL3,24,0.210521168916,0.00013205886727535272,95.68598183,5238.193884,0.544581405717,
CXCL3,25,0.106729547054,0.00019581135630888002,11.88162368,3511.567843,0.801993167123,
CFB,24,0.0500046259127,0.0020696536707854665,0.611847045,113.0260765,0.625658150036,
TMEM39A,25,0.0831791187483,0.0017462954091857497,7.540165534,154.1095914,0.692931269831,
CCND2,24,0.0999360567831,0.001851130858081707,5.29676279,366.0857949,0.817667187559,
MS4A6C,26,0.0497169892092,0.0013818874593583017,3.072205454,298.8791247,0.839724941612,
IRG1,24,0.0894996062057,0.000847322211245518,2.836097598,1441.051288,0.878186020588,
CCR7,23,0.01899849753,0.0004568551674604326,1.729561993,1387.004948,0.925293278874,
USP18,23,0.0867891493347,0.0011879661889288467,0.107241918,747.6894695,0.784168487524,
IFIT3,22,0.0228544660693,0.0008155709848230731,0.03872119,716.5810824,0.93571822161,
ACPP,27,0.10381040683,0.0014641597303499275,2.272790639,278.3647092,0.739695183219,
ACSL1,24,0.143895980866,0.0023049486739985226,3.202974307,130.4684339,0.49667932943,
STAT5A,27,0.147565520786,0.0038885831927343057,2.033721799,171.1243614,0.732750429992,
TNFSF9,25,0.0592061132637,0.0007758553225675377,2.489807289,544.0985846,0.68757277549,
CD40,26,0.0901013669957,0.0007163821628861052,0.033418005,1102.743321,0.88679667898,
IFI205,27,0.100869193931,0.0007981366358557937,0.09946793,1120.229687,0.818768761603,
MS4A4C,20,0.0299790257448,0.001208188258410722,0.023659753,132.1833811,0.692742321412,
TARM1,24,0.090149874343,0.0006133061470201519,9.568331771,542.3427554,0.60342834343,
NUDT17,23,0.0376268051684,0.0012591124314574717,0.408987759,159.6927757,0.800617505656,
AFTPH,27,0.0721226921582,0.006452680373086193,7.90228837,117.3901331,0.892446569577,
IRF7,23,0.0475866654552,0.002532568200756045,0.025868083,227.5046414,0.814275603453,
TLR2,27,0.0997985878787,0.0023096718532783327,4.323175563,269.4945395,0.678012471164,
IL15RA,27,0.0550767404884,0.001973192634764716,0.217830169,274.3821776,0.83202869251,
INHBA,26,0.0644069650434,0.0008759272725354471,0.022743505,514.6216667,0.784640647614,
IIGP1,25,0.0526632826394,0.0019541405752542262,0.013657415,116.1872236,0.68731221103,
TRIM30D,28,0.0730199706684,0.004745859306205454,0.306844105,218.7359588,0.837474741084,
TIMP1,21,0.0240150823638,0.000929516324326528,2.050347076,120.6972294,0.661863151876,
CCL7,18,0.0168252706885,0.0001307024305150665,0.859383739,158.9347165,0.254691329721,
SRGN,26,0.228731780715,0.0007012716671337411,383.0799657,3731.426279,0.853574222863,
IL1A,27,0.123437511306,0.00031923847843599423,23.57742493,3196.030119,0.685650604836,
SERPINA3G,25,0.0212129221348,0.0015245446564271022,1.710509712,163.8540923,0.806837249734,
TAP1,26,0.0736304069097,0.0047236540097388355,0.194636401,120.3273607,0.806659912693,
SLAMF7,27,0.0966638195724,0.0016848810690892747,104.2978601,892.8141058,0.865070685077,
IFIT1,24,0.0359429982199,0.001210406007728752,0.324600396,1223.399455,0.884414553513,
CISH,26,0.0844703249702,0.001664853880633742,0.064270002,512.4694077,0.770938761748,
FAS,27,0.0855183469773,0.0011787620421275537,12.42289848,232.4357865,0.722604381992,
CXCL10,25,0.102793301043,0.00017074988300279644,1.460333256,6512.74277,0.826897079642,
SLFN5,25,0.102366412326,0.004049188285789965,4.924495471,258.8585089,0.863098215624,
SLC2A6,26,0.177767180679,0.0019024853586268426,13.47675118,358.3648585,0.649152369709,
CMPK2,24,0.0584023927538,0.0017140898136003009,0.024997301,519.6056723,0.863396927117,
PCGF5,25,0.0859148840224,0.0017259772456720947,2.119948509,155.3634432,0.551683971474,
CAR13,24,0.0875297001853,0.0021156439003939473,3.40727526,132.3083096,0.57478679789,
GBP3,25,0.0597741060498,0.0024341920426666766,3.898482745,223.672367,0.835761588143,
UBE2L6,25,0.0821688235678,0.0017153161612093763,15.8217876,411.5109841,0.82357640287,
MX2,23,0.0313011403058,0.0030624319578816334,0.008135934,116.0373716,0.660762708934,
ZDHHC21,25,0.623461871827,-0.005792847559266812,11.02663461,149.4916166,0.286402337684,
AK138792,27,0.621382366206,-0.0017380101389321363,11.32780748,521.4285,0.305451431914,
CH25H,25,0.0289551346273,0.00089641349622473,0.50425035,106.9170379,0.663838120371,
PTGS2,25,0.0412242707128,0.0024642564697745736,0.032737482,138.0924328,0.76572873561,
SAMHD1,26,0.345149960308,0.002430742035270937,39.57602545,436.35753,0.605370412193,
SDC4,24,0.252082302285,0.00018942442542856376,17.58673236,2361.720675,0.206319037609,
ADAP2,26,0.0754190459133,0.0028442521511831548,0.277501594,108.3108894,0.616480274629,
MS4A6D,26,0.121026896935,0.0011632939488823756,35.29459915,642.6591041,0.683446617461,
ATF3,25,0.193009714839,0.001484048188853791,30.39170609,394.9543142,0.479126086257,
TNFSF15,26,0.0627941964001,0.0020927344200861266,0.264653321,513.2872843,0.827947958648,
RELA,25,0.149137705955,0.0017874628889135089,19.00618,130.3523819,0.326943336551,
ZFP36,26,0.193555661337,0.002257317300989352,17.71474642,247.3551454,0.566780093872,
SLFN2,27,0.376161982187,0.001486540562930267,135.7004811,1174.092182,0.623986618952,
GM12250,23,0.0377994878572,0.00449790450801812,0.013899912,203.4091487,0.895195387593,
STAT1,27,0.0419328369397,0.0047168250027773626,2.834427902,230.5672664,0.863808020953,
BIRC3,27,0.139343588526,0.0015134883525051782,8.675446775,152.8109564,0.439801607445,
1190002H23RIK,24,0.0510287676079,0.0009655283534695282,0.185896828,186.5176509,0.378662188682,
ALDH1A2,24,0.042279379339,0.0007975159951798327,0.096423535,155.6422826,0.48662879298,
OASL2,24,0.0475285057753,0.0034172635359286294,0.22487366,271.8561919,0.83065074854,
IL27,20,0.0361359495329,0.0015249140850654322,0.180285109,162.8703529,0.710616876225,
H1F0,27,0.152895564584,0.0015468153119444362,19.53064114,424.481472,0.712070795535,
CCL2,25,0.0662637107475,0.00014014604456812296,3.788796701,1319.093998,0.343376996389,
DDX58,28,0.0576050362873,0.004786681065162029,0.132938869,123.5279084,0.781372666378,
GBP5,24,0.0474944596332,0.004737339071549154,0.769886596,207.0604864,0.829940494301,
CAV1,27,0.0628068264224,0.001516373309699676,0.672974249,406.8434218,0.730285895936,
NMI,26,0.0544646774726,0.002728438351726657,5.415643204,131.3692953,0.630344088386,
CCL17,25,0.108687969874,6.560290901298482e-05,634.665482,11513.80939,0.746338288997,
SLPI,24,0.110994665443,6.0137409393147736e-05,26.59191777,413.4308858,0.021039338119,
H2-T23,25,0.278870906604,0.001364828775476388,105.4953237,799.8494806,0.541697127215,
NFKBIZ,25,0.0990170128934,0.003293111317549954,0.004788669,297.931381,0.681939253549,
DHX58,27,0.0457946645848,0.0048163209078484455,0.24624868,101.9859948,0.765201860889,
THBS1,25,0.0618198642575,0.0017871251057550114,9.883688306,271.4779681,0.5789114033,
