gene,N,intercept,slope,min x,max x,R2,
CXCL1,22,-885357.1192443627,22700382.893988498,0.010438118,0.57918586,0.913253087269,
RSAD2,21,-201494.89215769153,2000196.8106935732,0.013358103,1.570282727,0.931325814766,
OASL1,20,-21998.81041718021,389407.7892724324,0.010416667,1.197345517,0.961882171222,
NT5C3,21,-32844.60156793639,419240.7387807192,0.0463184,1.3877772990000001,0.916126966314,
CCL4,22,-12299533.309863552,182661193.0380687,0.011946392,1.616410485,0.926163083136,
EBI3,20,-67303.85075550388,666930.8808783292,0.041804347,0.533180061,0.725928976911,
IRGM1,20,-11209.25550836089,176775.95276143632,0.019141938,0.909528815,0.802425004162,
IFIT2,21,-15963.894487161015,287873.5221694164,0.01046698,1.394771904,0.960688006395,
PYHIN1,20,-6054.514371531339,95165.19246288002,0.049607302,1.4231648000000001,0.967059184299,
CAR4,22,-15625.186721150312,847534.437011468,0.010608898,0.25417935,0.937736698148,
SLFN8,21,-1325.4398816255489,41045.30229152154,0.016038428,0.43142924299999996,0.803904303125,
AW112010,20,-3330584.5063869935,20275815.63735066,0.121716983,1.46977833,0.872085806298,
U90926,18,-53981.37279878212,4873050.581034121,0.010416667,0.038167633,0.169339285737,
IL15,22,-13649.376991598787,276455.92633741297,0.014139287,0.649501601,0.883964627289,
GM4902,22,-18833.71587631142,307456.1524144953,0.010416667,0.7168261779999999,0.832530306718,
GM14446,15,-54294.604042165985,2437182.621524473,0.010416667,0.18856569899999998,0.909358263928,
FAM26F,18,-160.7161976643829,107455.53703713516,0.01070545,0.21805618699999998,0.708175409236,
D14ERTD668E,21,-2039.836695162443,65913.7732819597,0.014798691000000001,1.057168928,0.914533310157,
GM4951,20,-3123.490285916543,109593.8698730618,0.015214249,0.443968181,0.924265703955,
FGL2,21,-2461.604666414715,39137.44675988899,0.031293403,0.36649231299999996,0.519984083456,
APOL7C,18,-119644.26609805797,6174553.599242554,0.010562353,0.218253621,0.590171758837,
TRIM30A,23,-9419.124280486387,166567.48454757544,0.08681563,1.9675252619999999,0.926671911612,
CCL3,21,-728750.2271863837,19749029.52718284,0.031344152,0.8278389509999999,0.422589143736,
CXCL3,21,-1025845.2190932953,14243704.473420892,0.034403771,0.61632955,0.64677564925,
CFB,20,-2790.3576362158074,129066.67349658784,0.024520501,0.305241986,0.817857697244,
TMEM39A,20,-9004.338025055265,167635.34906819588,0.051133352,0.33712554200000006,0.775383832377,
CCND2,20,-17667.56716193127,193778.678765719,0.058735175,0.791654027,0.769240993598,
MS4A6C,23,-13682.623980575408,359478.3552594312,0.021541493999999998,0.47686063,0.747180574187,
IRG1,22,-28366.166815552395,1148940.2772856099,0.022123532,1.3319092190000001,0.812111217165,
CCR7,20,-10574.022758311243,4145028.7245502495,0.026315789,0.649365674,0.780858930318,
USP18,21,-46135.14135620922,594810.0938098188,0.010416667,0.9531022490000001,0.835173404665,
IFIT3,18,-26346.109309154053,1151001.4911513135,0.011925353999999999,0.692633576,0.972165593507,
ACPP,23,-22332.257747705786,256331.51804567894,0.02473113,0.508482494,0.728017486737,
ACSL1,20,-6866.566347988709,65500.458412774155,0.082691052,0.517461287,0.587330330264,
STAT5A,25,-4665.424269201783,41435.53516214573,0.054392854000000004,0.8546882509999999,0.721544412597,
TNFSF9,23,-20715.60365880277,677587.8695698642,0.012692786000000001,0.356622229,0.581425632687,
CD40,22,-89214.14334413392,1292803.1334513247,0.010416667,0.96349281,0.841275197548,
IFI205,22,-91341.96233798494,1092791.9754818215,0.020510083999999998,1.1123424709999998,0.856446216394,
MS4A4C,17,-8943.347931861055,333878.71135854616,0.010416667,0.222930285,0.851532173246,
TARM1,20,-111145.70970176638,1388382.297709678,0.034621144,0.46225163399999997,0.738524530982,
NUDT17,19,-12178.096539744427,406193.9442579461,0.026315789,0.240940629,0.839741572084,
AFTPH,24,-1378.3420352710036,18598.90785344026,0.136536184,0.92821039,0.77081532196,
IRF7,18,-3731.6771777458252,107043.97195522545,0.010416667,0.558772629,0.868389430844,
TLR2,25,-3224.7917051176773,124052.15279235413,0.061039107999999995,0.7979416659999999,0.681126595259,
IL15RA,22,-6286.834326912653,177194.63371218755,0.016286974,0.516080138,0.759826578787,
INHBA,21,-10806.04478991928,560774.696721419,0.016221856,0.465361308,0.701282523523,
IIGP1,22,-3217.6870016553657,95527.02033241268,0.012009105,0.251875193,0.619086859059,
TRIM30D,24,-1553.5245621616305,39112.40190067699,0.016124684,1.139972733,0.861031935132,
